日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	
EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	AD	2014-02-15T07:00:00	139.425	139.481	139.425	139.481	139.383	
142.272	142.300	142.349	142.364	142.236	142.273	374712.63	2014-01-09T08:00:00	142.400	
142.397	142.291	142.379	142.356	142.357	142.261	142.349	375063.21	2014-01-09T07:30:00	
142.470	142.477	142.375	142.400	142.422	142.445	142.330	142.356	374411.55	
2014-01-09T07:00:00	142.366	142.478	142.376	142.470	142.318	142.431	142.292	142.422	
374728.19	2014-01-09T06:30:00	142.257	142.444	142.255	142.366	142.234	142.412	142.226	
142.318	374406.97	2014-01-09T06:00:00	142.293	142.350	142.243	142.257	142.263	142.320	
142.216	142.234	374414.42	2014-01-09T05:30:00	142.234	142.344	142.215	142.293	142.209	
142.317	142.185	142.263	375040.81	2014-01-09T05:00:00	142.374	142.373	142.229	142.234	
142.341	142.351	142.199	142.209	374776.08	2014-01-09T04:30:00	142.309	142.393	142.262	
142.374	142.283	142.373	142.233	142.341	376429.56	2014-01-09T04:00:00	142.502	142.560	
142.139	142.309	142.410	142.515	142.113	142.283	374414.47	2014-01-09T03:30:00	142.467	
142.502	142.367	142.502	142.436	142.446	142.338	142.410	375578.28	2014-01-09T03:00:00	
142.417	142.502	142.396	142.467	142.389	142.475	142.367	142.436	375084.28	
2014-01-09T02:30:00	142.426	142.448	142.321	142.417	142.399	142.421	142.293	142.389	
374572.34	2014-01-09T02:00:00	142.497	142.538	142.377	142.426	142.469	142.515	142.350	
142.399	373566.84	2014-01-09T01:30:00	142.465	142.514	142.415	142.497	142.439	142.487	
142.386	142.469	374866.64	2014-01-09T01:00:00	142.579	142.632	142.450	142.465	142.551	
142.604	142.426	142.439	373374.85	2014-01-09T00:30:00	142.762	142.779	142.572	142.579	
142.733	142.753	142.549	142.551	376255.17	2014-01-09T00:00:00	142.584	142.784	142.573	
142.762	142.561	142.760	142.547	142.733	379805.17	2014-01-08T23:30:00	142.668	142.689	
142.454	142.584	142.639	142.662	142.427	142.561	376734.15	2014-01-08T23:00:00	142.456	
142.668	142.420	142.668	142.435	142.641	142.390	142.639	376219.35	2014-01-08T22:30:00	
142.358	142.564	142.324	142.456	142.332	142.536	142.300	142.435	372789.89	
2014-01-08T22:00:00	142.411	142.652	142.309	142.358	142.383	142.582	142.277	142.332	
372074.60	2014-01-08T21:30:00	142.416	142.487	142.389	142.411	142.388	142.464	142.363	
142.383	376185.58	2014-01-08T21:00:00	142.378	142.437	142.344	142.416	142.354	142.409	
142.316	142.388	377227.41	2014-01-08T20:30:00	142.323	142.387	142.314	142.378	142.296	
142.361	142.287	142.354	376345.06	2014-01-08T20:00:00	142.333	142.374	142.251	142.323	
142.302	142.348	142.223	142.296	375001.54	2014-01-08T19:30:00	142.548	142.553	142.216	
142.333	142.522	142.536	142.190	142.302	374670.08	2014-01-08T19:00:00	142.766	142.862	
142.537	142.548	142.734	142.833	142.508	142.522	376093.88	2014-01-08T18:30:00	142.851	
142.858	142.695	142.766	142.825	142.830	142.671	142.734	379078.50	2014-01-08T18:00:00	
142.939	142.981	142.851	142.851	142.911	142.956	142.825	142.825	379591.77	
2014-01-08T17:30:00	142.838	142.954	142.777	142.939	142.814	142.928	142.749	142.911	
381716.77	2014-01-08T17:00:00	143.087	143.085	142.771	142.838	143.061	143.060	142.744	
142.814	379617.10	2014-01-08T16:30:00	143.124	143.182	143.068	143.087	143.094	143.155	
143.039	143.061	381412.75	2014-01-08T16:00:00	142.992	143.159	142.949	143.124	142.965	
143.133	142.919	143.094	382598.89	2014-01-08T15:30:00	142.912	143.024	142.891	142.992	
142.884	142.997	142.862	142.965	381402.21	2014-01-08T15:00:00	143.124	143.129	142.898	
142.912	143.099	143.102	142.872	142.884	380875.76	2014-01-08T14:30:00	143.105	143.124	
143.038	143.124	143.078	143.099	143.008	143.099	382278.35	2014-01-08T14:00:00	143.086	
143.172	143.041	143.105	143.062	143.147	143.013	143.078	380562.35	2014-01-08T13:30:00	
142.910	143.099	142.884	143.086	142.884	143.070	142.862	143.062	380620.50	
2014-01-08T13:00:00	142.920	142.933	142.849	142.910	142.895	142.907	142.820	142.884	
379343.89	2014-01-08T12:30:00	142.912	142.961	142.882	142.920	142.881	142.935	142.855	
142.895	378852.36	2014-01-08T12:00:00	142.911	142.952	142.876	142.912	142.883	142.922	
142.847	142.881	378852.36	2014-01-08T11:30:00	142.879	142.938	142.872	142.911	142.848	
142.912	142.844	142.883	378968.75	2014-01-08T11:00:00	142.848	142.879	142.810	142.879	
142.823	142.851	142.781	142.848	378813.16	2014-01-08T10:30:00	142.721	142.987	142.721	
142.848	142.694	142.959	142.692	142.823	377865.04	2014-01-08T10:00:00	142.504	142.768	
142.453	142.721	142.478	142.739	142.433	142.694	377916.05	2014-01-08T09:30:00	142.517	
142.573	142.490	142.504	142.488	142.544	142.460	142.478	376301.70	2014-01-08T09:00:00	
142.609	142.627	142.463	142.517	142.578	142.607	142.436	142.488	377410.27	
2014-01-08T08:30:00	142.602	142.622	142.514	142.609	142.572	142.597	142.486	142.578	
378129.64	2014-01-08T08:00:00	142.523	142.620	142.462	142.602	142.488	142.591	142.433	
142.572	377454.88	2014-01-08T07:30:00	142.430	142.572	142.427	142.523	142.407	142.538	
142.403	142.488	376790.33	2014-01-08T07:00:00	142.436	142.578	142.419	142.430	142.370	
142.496	142.379	142.407	376559.85	2014-01-08T06:30:00	142.367	142.436	142.355	142.436	
142.340	142.430	142.329	142.370	376923.24	2014-01-08T06:00:00	142.353	142.389	142.334	
142.367	142.324	142.363	142.305	142.340	377139.58	2014-01-08T05:30:00	142.321	142.369	
142.301	142.353	142.289	142.344	142.274	142.324	377010.68	2014-01-08T05:00:00	142.298	
142.342	142.281	142.321	142.272	142.313	142.256	142.289	376634.39	2014-01-08T04:30:00	
142.358	142.379	142.295	142.298	142.333	142.354	142.266	142.272	376466.39	
2014-01-08T04:00:00	142.311	142.368	142.222	142.358	142.289	142.345	142.192	142.333	
377333.48	2014-01-08T03:30:00	142.299	142.378	142.237	142.311	142.268	142.363	142.207	
142.289	375915.33	2014-01-08T03:00:00	142.421	142.415	142.284	142.299	142.392	142.387	
142.256	142.268	375857.48	2014-01-08T02:30:00	142.338	142.445	142.334	142.421	142.314	
142.418	142.308	142.392	377439.61	2014-01-08T02:00:00	142.380	142.411	142.242	142.338	
142.350	142.385	142.216	142.314	376553.27	2014-01-08T01:30:00	142.369	142.419	142.342	
142.380	142.338	142.392	142.313	142.350	376005.12	2014-01-08T01:00:00	142.417	142.499	
142.330	142.369	142.388	142.471	142.313	142.338	376132.52	2014-01-08T00:30:00	142.365	
142.436	142.318	142.417	142.340	142.410	142.293	142.388	378011.59	2014-01-08T00:00:00	
142.543	142.591	142.317	142.365	142.520	142.563	142.290	142.340	375842.18	
2014-01-07T23:30:00	142.441	142.556	142.417	142.543	142.415	142.530	142.387	142.520	
379264.15	2014-01-07T23:00:00	142.438	142.497	142.374	142.441	142.407	142.471	142.345	
142.415	375632.64	2014-01-07T22:30:00	142.444	142.563	142.371	142.438	142.401	142.533	
142.341	142.407	375366.53	2014-01-07T22:00:00	142.501	142.554	142.368	142.444	142.477	
142.526	142.339	142.401	376573.41	2014-01-07T21:30:00	142.472	142.586	142.453	142.501	
142.449	142.560	142.423	142.477	377503.92	2014-01-07T21:00:00	142.420	142.576	142.419	
142.472	142.396	142.550	142.394	142.449	378022.32	2014-01-07T20:30:00	142.505	142.547	
142.355	142.420	142.477	142.518	142.326	142.396	378681.07	2014-01-07T20:00:00	142.492	
142.605	142.487	142.505	142.461	142.581	142.456	142.477	379231.67	2014-01-07T19:30:00	
142.353	142.510	142.334	142.492	142.326	142.486	142.308	142.461	380811.99	
2014-01-07T19:00:00	142.117	142.366	142.062	142.353	142.084	142.341	142.029	142.326	
379039.41	2014-01-07T18:30:00	142.065	142.219	142.024	142.117	142.039	142.192	141.997	
142.084	375914.81	2014-01-07T18:00:00	142.213	142.254	142.027	142.065	142.184	142.233	
141.999	142.039	376146.46	2014-01-07T17:30:00	142.102	142.216	142.007	142.213	142.077	
142.190	141.977	142.184	378189.92	2014-01-07T17:00:00	142.143	142.214	142.049	142.102	
142.114	142.187	142.020	142.077	375299.48	2014-01-07T16:30:00	142.302	142.345	142.105	
142.143	142.274	142.317	142.077	142.114	376105.91	2014-01-07T16:00:00	142.243	142.380	
142.239	142.302	142.216	142.354	142.210	142.274	377451.89	2014-01-07T15:30:00	142.235	
142.286	142.209	142.243	142.209	142.261	142.181	142.216	377583.56	2014-01-07T15:00:00	
142.463	142.463	142.213	142.235	142.435	142.432	142.182	142.209	377705.93	
2014-01-07T14:30:00	142.373	142.476	142.312	142.463	142.343	142.454	142.284	142.435	
379161.03	2014-01-07T14:00:00	142.340	142.406	142.269	142.373	142.311	142.380	142.241	
142.343	377934.99	2014-01-07T13:30:00	142.340	142.383	142.268	142.340	142.313	142.354	
142.239	142.311	377145.17	2014-01-07T13:00:00	142.459	142.530	142.289	142.340	142.432	
142.505	142.259	142.313	376816.08	2014-01-07T12:30:00	142.230	142.539	142.218	142.459	
142.202	142.514	142.191	142.432	377678.86	2014-01-07T12:00:00	142.176	142.274	142.181	
142.230	142.150	142.248	142.151	142.202	376204.54	2014-01-07T11:30:00	142.124	142.249	
142.117	142.176	142.097	142.221	142.089	142.150	376162.43	2014-01-07T11:00:00	142.152	
142.257	142.094	142.124	142.127	142.235	142.067	142.097	376231.37	2014-01-07T10:30:00	
142.059	142.174	142.046	142.152	142.029	142.146	142.019	142.127	377236.15	
2014-01-07T10:00:00	142.222	142.238	141.956	142.059	142.195	142.212	141.929	142.029	
376099.48	2014-01-07T09:30:00	142.177	142.358	142.174	142.222	142.149	142.331	142.145	
142.195	376848.82	2014-01-07T09:00:00	142.069	142.251	142.060	142.177	142.038	142.227	
142.030	142.149	377966.36	2014-01-07T08:30:00	142.117	142.155	142.041	142.069	142.088	
142.127	142.011	142.038	377578.21	2014-01-07T08:00:00	142.142	142.156	142.032	142.117	
142.083	142.129	142.002	142.088	377942.73	2014-01-07T07:30:00	142.046	142.152	142.024	
142.142	142.011	142.101	141.981	142.083	377462.26	2014-01-07T07:00:00	142.067	142.148	
142.027	142.046	142.009	142.105	141.986	142.011	376818.96	2014-01-07T06:30:00	142.032	
142.076	141.994	142.067	142.003	142.046	141.966	142.009	377239.92	2014-01-07T06:00:00	
142.087	142.117	142.027	142.032	142.057	142.088	142.000	142.003	377172.64	
2014-01-07T05:30:00	142.152	142.158	141.980	142.087	142.126	142.128	141.951	142.057	
377733.60	2014-01-07T05:00:00	142.188	142.212	142.132	142.152	142.161	142.183	142.103	
142.126	377453.60	2014-01-07T04:30:00	142.190	142.247	142.136	142.188	142.166	142.217	
142.105	142.161	377881.15	2014-01-07T04:00:00	142.167	142.275	142.117	142.190	142.138	
142.248	142.088	142.166	377881.15	2014-01-07T03:30:00	141.984	142.196	141.954	142.167	
141.956	142.165	141.929	142.138	377922.02	2014-01-07T03:00:00	141.915	142.047	141.886	
141.984	141.883	142.017	141.856	141.956	376735.94	2014-01-07T02:30:00	142.128	142.140	
141.748	141.915	142.096	142.112	141.720	141.883	376129.38	2014-01-07T02:00:00	142.345	
142.345	142.082	142.128	142.316	142.316	142.052	142.096	376936.87	2014-01-07T01:30:00	
142.391	142.437	142.295	142.345	142.363	142.409	142.266	142.316	378978.87	
2014-01-07T01:00:00	142.610	142.698	142.356	142.391	142.582	142.671	142.330	142.363	
379821.43	2014-01-07T00:30:00	142.712	142.796	142.589	142.610	142.682	142.768	142.564	
142.582	383501.26	2014-01-07T00:00:00	142.746	142.752	142.581	142.712	142.651	142.705	
142.548	142.682	387226.09	2014-01-06T23:30:00	142.637	142.762	142.592	142.746	142.610	
142.735	142.563	142.651	383560.26	2014-01-06T23:00:00	142.280	142.648	142.252	142.637	
142.255	142.622	142.222	142.610	383454.59	2014-01-06T22:30:00	142.310	142.334	142.227	
142.280	142.279	142.305	142.200	142.255	380021.71	2014-01-06T22:00:00	142.280	142.312	
142.205	142.310	142.253	142.285	142.176	142.279	379924.85	2014-01-06T21:30:00	142.258	
142.401	142.229	142.280	142.229	142.380	142.207	142.253	377451.79	2014-01-06T21:00:00	
142.338	142.335	142.209	142.258	142.310	142.309	142.182	142.229	378442.52	
2014-01-06T20:30:00	142.375	142.381	142.254	142.338	142.345	142.352	142.223	142.310	
378788.63	2014-01-06T20:00:00	142.327	142.424	142.317	142.375	142.300	142.397	142.284	
142.345	378056.07	2014-01-06T19:30:00	142.217	142.405	142.221	142.327	142.193	142.377	
142.195	142.300	377929.83	2014-01-06T19:00:00	142.331	142.335	142.212	142.217	142.302	
142.307	142.186	142.193	377671.53	2014-01-06T18:30:00	142.327	142.407	142.264	142.331	
142.298	142.379	142.233	142.302	379348.16	2014-01-06T18:00:00	142.134	142.358	142.112	
142.327	142.103	142.333	142.083	142.298	379484.87	2014-01-06T17:30:00	142.270	142.320	
142.064	142.134	142.243	142.291	142.040	142.103	377234.87	2014-01-06T17:00:00	141.772	
142.290	141.770	142.270	141.741	142.262	141.742	142.243	378797.12	2014-01-06T16:30:00	
141.714	141.781	141.650	141.772	141.685	141.755	141.619	141.741	375262.76	
2014-01-06T16:00:00	141.790	141.823	141.704	141.714	141.763	141.797	141.677	141.685	
373908.79	2014-01-06T15:30:00	141.711	141.870	141.682	141.790	141.687	141.847	141.653	
141.763	375008.59	2014-01-06T15:00:00	141.646	141.714	141.545	141.711	141.615	141.689	
141.524	141.687	374867.06	2014-01-06T14:30:00	141.635	141.713	141.580	141.646	141.604	
141.685	141.554	141.615	373463.93	2014-01-06T14:00:00	141.784	141.782	141.615	141.635	
141.756	141.758	141.588	141.604	373544.99	2014-01-06T13:30:00	141.798	141.826	141.688	
141.784	141.774	141.798	141.661	141.756	374593.79	2014-01-06T13:00:00	141.839	141.892	
141.778	141.798	141.809	141.867	141.748	141.774	374139.62	2014-01-06T12:30:00	141.711	
141.893	141.705	141.839	141.683	141.866	141.676	141.809	374681.25	2014-01-06T12:00:00	
141.729	141.732	141.643	141.711	141.702	141.707	141.618	141.683	374175.25	
2014-01-06T11:30:00	141.747	141.798	141.684	141.729	141.722	141.774	141.657	141.702	
373755.57	2014-01-06T11:00:00	141.628	141.764	141.594	141.747	141.601	141.738	141.566	
141.722	374093.65	2014-01-06T10:30:00	142.026	142.060	141.515	141.628	142.000	142.033	
141.487	141.601	372352.61	2014-01-06T10:00:00	142.307	142.310	142.013	142.026	142.277	
142.281	141.981	142.000	374721.88	2014-01-06T09:30:00	142.335	142.378	142.190	142.307	
142.308	142.348	142.163	142.277	377010.01	2014-01-06T09:00:00	142.651	142.670	142.254	
142.335	142.621	142.642	142.222	142.308	376238.11	2014-01-06T08:30:00	142.601	142.678	
142.538	142.651	142.576	142.649	142.508	142.621	378330.75	2014-01-06T08:00:00	142.622	
142.620	142.510	142.601	142.582	142.593	142.480	142.576	377752.03	2014-01-06T07:30:00	
142.534	142.629	142.489	142.622	142.503	142.590	142.450	142.582	376857.16	
2014-01-06T07:00:00	142.547	142.598	142.502	142.534	142.433	142.533	142.426	142.503	
375884.65	2014-01-04T06:30:00	142.494	142.572	142.413	142.559	142.456	142.488	142.362	
142.460	375714.66	2014-01-04T06:00:00	142.337	142.494	142.321	142.494	142.303	142.470	
142.283	142.456	375161.32	2014-01-04T05:30:00	142.426	142.426	142.320	142.337	142.396	
142.397	142.288	142.303	374414.79	2014-01-04T05:00:00	142.339	142.471	142.295	142.426	
142.310	142.444	142.266	142.396	375570.80	2014-01-04T04:30:00	142.132	142.340	142.124	
142.339	142.106	142.310	142.092	142.310	374672.48	2014-01-04T04:00:00	142.120	142.171	
142.073	142.132	142.090	142.144	142.041	142.106	372877.48	2014-01-04T03:30:00	142.104	
142.141	142.046	142.120	142.076	142.114	142.017	142.090	372676.95	2014-01-04T03:00:00	
142.162	142.170	141.983	142.104	142.136	142.143	141.952	142.076	372309.20	
2014-01-04T02:30:00	142.183	142.207	142.081	142.162	142.154	142.178	142.051	142.136	
371928.70	2014-01-04T02:00:00	142.130	142.194	142.078	142.183	142.103	142.166	142.048	
142.154	371351.75	2014-01-04T01:30:00	142.280	142.324	142.130	142.130	142.253	142.300	
142.102	142.103	369542.65	2014-01-04T01:00:00	142.227	142.429	142.221	142.280	142.203	
142.403	142.196	142.253	371945.14	2014-01-04T00:30:00	142.097	142.238	141.998	142.227	
142.066	142.222	141.970	142.203	373358.11	2014-01-04T00:00:00	142.153	142.204	142.002	
142.097	142.125	142.176	141.971	142.066	370886.92	2014-01-03T23:30:00	142.042	142.194	
141.984	142.153	142.012	142.166	141.952	142.125	371126.26	2014-01-03T23:00:00	142.466	
142.471	142.019	142.042	142.438	142.443	141.988	142.012	368752.73	2014-01-03T22:30:00	
142.512	142.532	142.388	142.466	142.491	142.503	142.359	142.438	372376.37	
2014-01-03T22:00:00	142.547	142.583	142.370	142.512	142.520	142.557	142.339	142.491	
372130.59	2014-01-03T21:30:00	142.529	142.713	142.522	142.547	142.501	142.686	142.493	
142.520	371078.47	2014-01-03T21:00:00	142.444	142.537	142.309	142.529	142.413	142.512	
142.279	142.501	373344.96	2014-01-03T20:30:00	142.530	142.562	142.429	142.444	142.499	
142.531	142.402	142.413	371085.54	2014-01-03T20:00:00	142.500	142.585	142.476	142.530	
142.471	142.562	142.446	142.499	372890.44	2014-01-03T19:30:00	142.481	142.533	142.449	
142.500	142.453	142.505	142.422	142.471	373068.20	2014-01-03T19:00:00	142.374	142.500	
142.355	142.481	142.348	142.474	142.330	142.453	372723.20	2014-01-03T18:30:00	142.362	
142.425	142.286	142.374	142.334	142.398	142.260	142.348	371515.49	2014-01-03T18:00:00	
142.394	142.395	142.270	142.362	142.367	142.366	142.246	142.334	370893.17	
2014-01-03T17:30:00	142.166	142.416	142.097	142.394	142.140	142.391	142.069	142.367	
369586.04	2014-01-03T17:00:00	142.491	142.544	142.144	142.166	142.462	142.516	142.113	
142.140	366714.15	2014-01-03T16:30:00	142.564	142.645	142.488	142.491	142.540	142.620	
142.461	142.462	370029.21	2014-01-03T16:00:00	142.372	142.568	142.336	142.564	142.342	
142.543	142.306	142.540	372388.16	2014-01-03T15:30:00	142.245	142.428	142.244	142.372	
142.218	142.399	142.212	142.342	370902.75	2014-01-03T15:00:00	142.257	142.320	142.186	
142.245	142.229	142.292	142.155	142.218	370451.86	2014-01-03T14:30:00	142.316	142.320	
142.106	142.257	142.285	142.296	142.078	142.229	370548.13	2014-01-03T14:00:00	142.400	
142.412	142.218	142.316	142.371	142.382	142.191	142.285	369921.99	2014-01-03T13:30:00	
142.473	142.507	142.387	142.400	142.448	142.479	142.354	142.371	369957.50	
2014-01-03T13:00:00	142.427	142.538	142.386	142.473	142.396	142.511	142.358	142.448	
370526.07	2014-01-03T12:30:00	142.536	142.536	142.329	142.427	142.506	142.504	142.298	
142.396	370325.07	2014-01-03T12:00:00	142.455	142.596	142.403	142.536	142.425	142.567	
142.373	142.506	370423.85	2014-01-03T11:30:00	142.670	142.668	142.246	142.455	142.643	
142.640	142.214	142.425	369948.80	2014-01-03T11:00:00	143.088	143.107	142.587	142.670	
143.061	143.079	142.559	142.643	369985.69	2014-01-03T10:30:00	143.209	143.289	143.088	
143.088	143.182	143.259	143.059	143.061	372241.88	2014-01-03T10:00:00	143.210	143.237	
143.159	143.209	143.187	143.214	143.127	143.182	373058.22	2014-01-03T09:30:00	143.295	
143.330	143.210	143.210	143.268	143.303	143.182	143.187	372793.85	2014-01-03T09:00:00	
143.290	143.300	143.228	143.295	143.259	143.274	143.201	143.268	373410.31	
2014-01-03T08:30:00	143.252	143.310	143.251	143.290	143.225	143.280	143.221	143.259	
372929.00	2014-01-03T08:00:00	143.279	143.309	143.183	143.252	143.234	143.278	143.155	
143.225	372800.78	2014-01-03T07:30:00	143.251	143.282	143.161	143.279	143.163	143.237	
143.104	143.234	372637.14	2014-01-03T07:00:00	143.332	143.369	143.194	143.251	143.233	
143.252	143.113	143.163	372108.13	2014-01-03T06:30:00	143.119	143.343	143.067	143.332	
143.085	143.285	143.034	143.233	372209.42	2014-01-03T06:00:00	143.146	143.194	143.117	
143.119	143.121	143.167	143.085	143.085	371650.70	2014-01-03T05:30:00	143.038	143.161	
142.999	143.146	143.008	143.132	142.971	143.121	372693.70	2014-01-03T05:00:00	142.958	
143.074	142.961	143.038	142.929	143.046	142.929	143.008	371098.22	2014-01-03T04:30:00	
142.939	143.058	142.863	142.958	142.913	143.029	142.831	142.929	370676.66	
2014-01-03T04:00:00	143.084	143.148	142.876	142.939	143.057	143.117	142.850	142.913	
370697.33	2014-01-03T03:30:00	143.269	143.280	143.049	143.084	143.237	143.255	143.024	
143.057	371826.39	2014-01-03T03:00:00	143.387	143.382	143.222	143.269	143.356	143.355	
143.194	143.237	373487.82	2014-01-03T02:30:00	143.275	143.399	143.207	143.387	143.249	
143.370	143.178	143.356	374167.01	2014-01-03T02:00:00	143.331	143.411	143.241	143.275	
143.308	143.387	143.212	143.249	372222.07	2014-01-03T01:30:00	143.345	143.429	143.302	
143.331	143.319	143.403	143.273	143.308	373380.40	2014-01-03T01:00:00	143.459	143.537	
143.332	143.345	143.428	143.506	143.305	143.319	375034.09	2014-01-03T00:30:00	143.000	
143.461	142.961	143.459	142.975	143.436	142.930	143.428	378020.71	2014-01-03T00:00:00	
143.142	143.269	142.906	143.000	143.057	143.242	142.881	142.975	373114.90	
2014-01-02T23:30:00	143.243	143.292	142.998	143.142	143.215	143.268	142.970	143.057	
377281.75	2014-01-02T23:00:00	143.501	143.524	143.197	143.243	143.472	143.494	143.167	
143.215	379867.86	2014-01-02T22:30:00	143.659	143.743	143.452	143.501	143.595	143.715	
143.421	143.472	383474.15	2014-01-02T22:00:00	143.842	143.860	143.636	143.659	143.816	
143.836	143.590	143.595	386470.39	2014-01-02T21:30:00	144.088	144.104	143.758	143.842	
144.060	144.076	143.725	143.816	390199.38	2014-01-02T21:00:00	144.295	144.292	144.047	
144.088	144.266	144.264	144.021	144.060	392198.01	2014-01-02T20:30:00	144.304	144.380	
144.265	144.295	144.279	144.351	144.236	144.266	394313.14	2014-01-02T20:00:00	144.650	
144.650	144.255	144.304	144.630	144.639	144.226	144.279	395016.18	2014-01-02T19:30:00	
144.569	144.672	144.564	144.650	144.540	144.641	144.535	144.630	397979.14	
2014-01-02T19:00:00	144.684	144.704	144.530	144.569	144.653	144.677	144.502	144.540	
396507.55	2014-01-02T18:30:00	144.677	144.810	144.631	144.684	144.648	144.780	144.604	
144.653	397522.44	2014-01-02T18:00:00	144.639	144.783	144.613	144.677	144.613	144.756	
144.589	144.648	399041.23	2014-01-02T17:30:00	144.538	144.748	144.530	144.639	144.509	
144.725	144.501	144.613	400172.63	2014-01-02T17:00:00	144.700	144.718	144.521	144.538	
144.679	144.694	144.498	144.509	400172.63	2014-01-02T16:30:00	144.830	144.839	144.633	
144.700	144.805	144.811	144.602	144.679	404652.24	2014-01-02T16:00:00	144.841	144.869	
144.766	144.830	144.813	144.846	144.738	144.805	405634.35	2014-01-02T15:30:00	144.868	
144.873	144.761	144.841	144.840	144.855	144.737	144.813	404753.72	2014-01-02T15:00:00	
144.888	144.892	144.828	144.868	144.859	144.867	144.801	144.840	402393.89	
2014-01-02T14:30:00	144.813	144.908	144.792	144.888	144.783	144.883	144.761	144.859	
401746.61	2014-01-02T14:00:00	145.045	144.816	144.743	144.813	145.011	144.787	144.709	
144.783	400396.42	2014-01-01T02:00:00	145.033	145.045	145.026	145.045	145.003	145.013	
144.995	145.011	399303.34	2014-01-01T01:30:00	144.817	145.077	144.782	145.033	144.789	
145.047	144.762	145.003	399255.12	2014-01-01T01:00:00	144.851	144.852	144.708	144.817	
144.828	144.827	144.676	144.789	397601.70	2014-01-01T00:30:00	144.613	144.916	144.601	
144.851	144.581	144.894	144.568	144.828	396112.13	2014-01-01T00:00:00	144.560	144.622	
144.433	144.613	144.496	144.591	144.399	144.581	394557.16	2013-12-31T23:30:00	144.513	
144.577	144.492	144.560	144.484	144.547	144.464	144.496	392533.47	2013-12-31T23:00:00	
144.566	144.617	144.500	144.513	144.532	144.587	144.471	144.484	392911.41	
2013-12-31T22:30:00	144.649	144.761	144.526	144.566	144.623	144.732	144.496	144.532	
393961.93	2013-12-31T22:00:00	144.541	144.765	144.497	144.649	144.514	144.734	144.469	
144.623	395095.33	2013-12-31T21:30:00	144.654	144.690	144.527	144.541	144.624	144.661	
144.496	144.514	394867.19	2013-12-31T21:00:00	144.523	144.657	144.505	144.654	144.497	
144.632	144.475	144.624	395819.44	2013-12-31T20:30:00	144.543	144.600	144.519	144.523	
144.511	144.571	144.489	144.497	394789.34	2013-12-31T20:00:00	144.521	144.607	144.518	
144.543	144.495	144.579	144.487	144.511	395599.85	2013-12-31T19:30:00	144.596	144.727	
144.518	144.521	144.569	144.698	144.489	144.495	396297.15	2013-12-31T19:00:00	144.568	
144.639	144.489	144.596	144.540	144.613	144.476	144.569	397743.08	2013-12-31T18:30:00	
144.646	144.685	144.555	144.568	144.619	144.655	144.524	144.540	397331.40	
2013-12-31T18:00:00	144.769	144.789	144.539	144.646	144.743	144.761	144.510	144.619	
398371.28	2013-12-31T17:30:00	144.744	144.831	144.723	144.769	144.715	144.805	144.692	
144.743	398752.43	2013-12-31T17:00:00	144.731	144.787	144.706	144.744	144.700	144.758	
144.675	144.715	398902.34	2013-12-31T16:30:00	144.768	144.785	144.712	144.731	144.737	
144.763	144.681	144.700	398962.05	2013-12-31T16:00:00	144.734	144.774	144.718	144.768	
144.706	144.757	144.691	144.737	399487.36	2013-12-31T15:30:00	144.795	144.827	144.732	
144.734	144.764	144.800	144.703	144.706	399266.36	2013-12-31T15:00:00	144.890	144.896	
144.771	144.795	144.861	144.873	144.742	144.764	399741.07	2013-12-31T14:30:00	144.866	
144.925	144.866	144.890	144.840	144.897	144.838	144.861	399996.09	2013-12-31T14:00:00	
144.891	144.920	144.854	144.866	144.863	144.893	144.827	144.840	400066.38	
2013-12-31T13:30:00	144.794	144.895	144.778	144.891	144.771	144.866	144.751	144.863	
400436.07	2013-12-31T13:00:00	144.711	144.797	144.695	144.794	144.685	144.771	144.665	
144.771	400053.15	2013-12-31T12:30:00	144.731	144.732	144.692	144.711	144.700	144.702	
144.661	144.685	399628.15	2013-12-31T12:00:00	144.679	144.749	144.674	144.731	144.645	
144.719	144.642	144.700	399596.74	2013-12-31T11:30:00	144.805	144.822	144.676	144.679	
144.774	144.793	144.645	144.645	399431.11	2013-12-31T11:00:00	144.801	144.845	144.784	
144.805	144.771	144.817	144.752	144.774	399881.11	2013-12-31T10:30:00	144.918	144.918	
144.793	144.801	144.887	144.888	144.764	144.771	400084.01	2013-12-31T10:00:00	144.967	
144.977	144.882	144.918	144.935	144.949	144.850	144.887	400651.75	2013-12-31T09:30:00	
144.876	144.975	144.858	144.967	144.848	144.946	144.832	144.935	400773.47	
2013-12-31T09:00:00	144.886	144.899	144.800	144.876	144.850	144.865	144.770	144.848	
400326.38	2013-12-31T08:30:00	144.960	144.969	144.843	144.886	144.925	144.945	144.806	
144.850	399905.16	2013-12-31T08:00:00	144.987	145.075	144.877	144.960	144.914	145.031	
144.851	144.925	400301.42	2013-12-31T07:30:00	145.093	145.093	144.791	144.987	145.031	
145.040	144.749	144.914	400687.37	2013-12-31T07:00:00	145.135	145.169	145.070	145.093	
145.015	145.087	144.989	145.031	400596.91	2013-12-31T06:30:00	145.058	145.135	145.053	
145.135	145.020	145.117	145.015	145.015	400632.62	2013-12-31T06:00:00	145.031	145.061	
