日時	EUR/JPY(始値, 買い)	
EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	CHO	2014-02-15T07:00:00	
142.024	3839.25	2013-12-16T19:00:00	141.847	141.957	141.776	141.933	141.816	141.930	
141.749	141.907	4086.61	2013-12-16T18:30:00	141.928	141.968	141.787	141.847	141.899	
141.938	141.757	141.816	3775.26	2013-12-16T18:00:00	141.843	141.978	141.695	141.928	
141.817	141.950	141.668	141.899	2726.72	2013-12-16T17:30:00	141.495	141.881	141.455	
141.843	141.465	141.855	141.428	141.817	1341.14	2013-12-16T17:00:00	141.461	141.603	
141.386	141.495	141.434	141.533	141.356	141.465	430.64	2013-12-16T16:30:00	141.402	
141.571	141.319	141.461	141.371	141.548	141.263	141.434	173.04	2013-12-16T16:00:00	
141.461	141.482	141.286	141.402	141.429	141.453	141.258	141.371	-197.22	
2013-12-16T15:30:00	141.454	141.490	141.426	141.461	141.426	141.462	141.393	141.429	
-763.58	2013-12-16T15:00:00	141.333	141.488	141.326	141.454	141.302	141.462	141.297	
141.426	-901.00	2013-12-16T14:30:00	141.431	141.431	141.330	141.333	141.403	141.402	
141.300	141.302	-952.85	2013-12-16T14:00:00	141.454	141.504	141.405	141.431	141.428	
141.476	141.374	141.403	-1129.26	2013-12-16T13:30:00	141.436	141.481	141.388	141.454	
141.407	141.453	141.359	141.428	-1686.98	2013-12-16T13:00:00	141.354	141.461	141.299	
141.436	141.324	141.434	141.271	141.407	-2602.59	2013-12-16T12:30:00	141.377	141.455	
141.236	141.354	141.346	141.428	141.204	141.324	-2568.66	2013-12-16T12:00:00	141.600	
141.627	141.353	141.377	141.568	141.598	141.323	141.346	-2130.03	2013-12-16T11:30:00	
141.759	141.789	141.490	141.600	141.729	141.759	141.461	141.568	-1633.55	
2013-12-16T11:00:00	141.700	141.844	141.669	141.759	141.670	141.817	141.638	141.729	
-1377.69	2013-12-16T10:30:00	141.732	141.814	141.670	141.700	141.700	141.783	141.643	
141.670	-792.93	2013-12-16T10:00:00	141.846	141.908	141.725	141.732	141.820	141.879	
141.697	141.700	-578.06	2013-12-16T09:30:00	141.735	141.890	141.735	141.846	141.705	
141.865	141.706	141.820	56.68	2013-12-16T09:00:00	141.885	141.891	141.707	141.735	
141.856	141.862	141.675	141.705	291.47	2013-12-16T08:30:00	141.850	141.938	141.825	
141.885	141.821	141.903	141.795	141.856	624.04	2013-12-16T08:00:00	141.706	141.892	
141.706	141.850	141.687	141.863	141.678	141.821	498.85	2013-12-16T07:30:00	141.764	
141.764	141.623	141.706	141.722	141.724	141.606	141.687	423.30	2013-12-16T07:00:00	
141.974	141.843	141.677	141.764	141.824	141.765	141.580	141.722	325.60	
2013-12-14T06:30:00	141.688	141.984	141.688	141.974	141.650	141.899	141.644	141.848	
512.72	2013-12-14T06:00:00	141.813	141.834	141.688	141.688	141.781	141.801	141.643	
141.650	585.79	2013-12-14T05:30:00	141.749	141.813	141.644	141.813	141.718	141.781	
141.612	141.781	919.59	2013-12-14T05:00:00	141.739	141.788	141.734	141.749	141.709	
141.758	141.703	141.718	736.31	2013-12-14T04:30:00	141.613	141.748	141.613	141.739	
141.584	141.721	141.583	141.709	974.30	2013-12-14T04:00:00	141.713	141.731	141.508	
141.613	141.684	141.702	141.480	141.584	806.07	2013-12-14T03:30:00	141.650	141.728	
141.640	141.713	141.617	141.698	141.606	141.684	486.19	2013-12-14T03:00:00	141.658	
141.687	141.561	141.650	141.629	141.659	141.530	141.617	540.96	2013-12-14T02:30:00	
141.786	141.789	141.647	141.658	141.759	141.767	141.619	141.629	126.46	
2013-12-14T02:00:00	141.752	141.801	141.726	141.786	141.724	141.772	141.704	141.759	
-458.34	2013-12-14T01:30:00	141.694	141.830	141.668	141.752	141.669	141.805	141.639	
141.724	-1437.89	2013-12-14T01:00:00	141.621	141.770	141.611	141.694	141.593	141.744	
141.584	141.669	-2885.66	2013-12-14T00:30:00	141.524	141.668	141.464	141.621	141.494	
141.645	141.436	141.593	-4249.34	2013-12-14T00:00:00	141.538	141.637	141.438	141.524	
141.507	141.608	141.409	141.494	-4527.46	2013-12-13T23:30:00	141.752	141.786	141.464	
141.538	141.728	141.765	141.434	141.507	-4411.55	2013-12-13T23:00:00	141.783	141.845	
141.654	141.752	141.756	141.820	141.626	141.728	-3724.21	2013-12-13T22:30:00	141.947	
141.947	141.735	141.783	141.841	141.900	141.708	141.756	-2911.96	2013-12-13T22:00:00	
142.030	142.035	141.814	141.947	142.002	142.007	141.787	141.841	-1953.60	
2013-12-13T21:30:00	142.112	142.179	141.942	142.030	142.084	142.154	141.913	142.002	
-1573.94	2013-12-13T21:00:00	142.217	142.240	142.035	142.112	142.188	142.212	142.009	
142.084	-1061.27	2013-12-13T20:30:00	142.352	142.441	142.181	142.217	142.323	142.413	
142.155	142.188	-1368.82	2013-12-13T20:00:00	142.135	142.370	142.097	142.352	142.108	
142.343	142.074	142.323	-1960.40	2013-12-13T19:30:00	142.151	142.220	142.055	142.135	
142.121	142.192	142.029	142.108	-2076.56	2013-12-13T19:00:00	142.349	142.393	142.125	
142.151	142.317	142.365	142.097	142.121	-1392.95	2013-12-13T18:30:00	142.386	142.426	
142.307	142.349	142.355	142.398	142.278	142.317	-529.45	2013-12-13T18:00:00	142.537	
142.556	142.325	142.386	142.510	142.529	142.299	142.355	87.27	2013-12-13T17:30:00	
142.595	142.655	142.470	142.537	142.567	142.628	142.442	142.510	20.59	
2013-12-13T17:00:00	142.521	142.622	142.499	142.595	142.490	142.599	142.470	142.567	
-744.16	2013-12-13T16:30:00	142.414	142.522	142.360	142.521	142.384	142.495	142.330	
142.490	-878.04	2013-12-13T16:00:00	142.547	142.589	142.391	142.414	142.521	142.561	
142.366	142.384	-519.55	2013-12-13T15:30:00	142.626	142.660	142.517	142.547	142.596	
142.632	142.487	142.521	445.11	2013-12-13T15:00:00	142.687	142.701	142.575	142.626	
142.659	142.671	142.544	142.596	1501.53	2013-12-13T14:30:00	142.827	142.827	142.682	
142.687	142.796	142.797	142.652	142.659	1714.61	2013-12-13T14:00:00	142.741	142.829	
142.735	142.827	142.711	142.801	142.704	142.796	2101.86	2013-12-13T13:30:00	142.800	
142.822	142.706	142.741	142.772	142.792	142.675	142.711	1738.12	2013-12-13T13:00:00	
142.737	142.828	142.679	142.800	142.707	142.801	142.650	142.772	1387.84	
2013-12-13T12:30:00	142.471	142.841	142.452	142.737	142.441	142.813	142.423	142.707	
827.96	2013-12-13T12:00:00	142.440	142.510	142.434	142.471	142.411	142.484	142.404	
142.441	393.84	2013-12-13T11:30:00	142.404	142.440	142.371	142.440	142.372	142.411	
142.343	142.411	261.07	2013-12-13T11:00:00	142.373	142.434	142.326	142.404	142.346	
142.407	142.306	142.372	310.12	2013-12-13T10:30:00	142.312	142.482	142.303	142.373	
142.281	142.452	142.274	142.346	600.76	2013-12-13T10:00:00	142.366	142.410	142.227	
142.312	142.335	142.380	142.196	142.281	1153.72	2013-12-13T09:30:00	142.348	142.451	
142.280	142.366	142.322	142.422	142.250	142.335	1669.85	2013-12-13T09:00:00	142.439	
142.436	142.257	142.348	142.410	142.409	142.230	142.322	2357.04	2013-12-13T08:30:00	
142.421	142.541	142.383	142.439	142.395	142.514	142.354	142.410	2677.97	
2013-12-13T08:00:00	142.426	142.450	142.288	142.421	142.390	142.414	142.256	142.395	
2623.88	2013-12-13T07:30:00	142.234	142.481	142.234	142.426	142.190	142.437	142.186	
142.390	2289.14	2013-12-13T07:00:00	142.206	142.268	142.165	142.234	142.138	142.196	
142.114	142.190	2541.74	2013-12-13T06:30:00	142.196	142.262	142.112	142.206	142.165	
142.227	142.076	142.138	2553.22	2013-12-13T06:00:00	142.080	142.202	142.038	142.196	
142.048	142.173	142.015	142.165	2277.14	2013-12-13T05:30:00	142.004	142.094	141.987	
142.080	141.977	142.068	141.958	142.048	1802.82	2013-12-13T05:00:00	141.960	142.058	
141.913	142.004	141.931	142.031	141.882	141.977	1691.70	2013-12-13T04:30:00	141.944	
141.966	141.889	141.960	141.912	141.942	141.859	141.931	1565.56	2013-12-13T04:00:00	
141.911	141.997	141.883	141.944	141.882	141.969	141.852	141.912	1194.62	
2013-12-13T03:30:00	141.845	141.958	141.805	141.911	141.819	141.935	141.775	141.882	
853.74	2013-12-13T03:00:00	141.767	141.872	141.709	141.845	141.737	141.846	141.682	
141.819	876.98	2013-12-13T02:30:00	141.712	141.827	141.689	141.767	141.683	141.802	
141.664	141.737	1776.47	2013-12-13T02:00:00	141.826	141.881	141.693	141.712	141.799	
141.851	141.664	141.683	3100.90	2013-12-13T01:30:00	141.834	141.887	141.762	141.826	
141.804	141.861	141.735	141.799	3463.06	2013-12-13T01:00:00	141.687	141.859	141.682	
141.834	141.658	141.832	141.654	141.804	3983.76	2013-12-13T00:30:00	141.701	141.851	
141.612	141.687	141.675	141.823	141.582	141.658	4862.54	2013-12-13T00:00:00	141.822	
141.835	141.621	141.701	141.798	141.811	141.593	141.675	4946.60	2013-12-12T23:30:00	
141.770	141.844	141.566	141.822	141.741	141.815	141.535	141.798	3307.17	
2013-12-12T23:00:00	141.702	141.781	141.520	141.770	141.675	141.756	141.491	141.741	
1009.69	2013-12-12T22:30:00	141.612	141.861	141.530	141.702	141.517	141.838	141.474	
141.675	-371.88	2013-12-12T22:00:00	141.638	141.681	141.411	141.612	141.609	141.654	
141.381	141.517	-1087.66	2013-12-12T21:30:00	141.631	141.679	141.595	141.638	141.602	
141.650	141.568	141.609	-1329.98	2013-12-12T21:00:00	141.598	141.672	141.592	141.631	
141.570	141.644	141.563	141.602	-1599.58	2013-12-12T20:30:00	141.568	141.681	141.551	
141.598	141.538	141.653	141.520	141.570	-1705.79	2013-12-12T20:00:00	141.525	141.602	
141.511	141.568	141.500	141.577	141.482	141.538	-1672.70	2013-12-12T19:30:00	141.563	
141.568	141.486	141.525	141.536	141.543	141.457	141.500	-1502.60	2013-12-12T19:00:00	
141.571	141.663	141.539	141.563	141.537	141.634	141.505	141.536	-723.45	
2013-12-12T18:30:00	141.719	141.724	141.528	141.571	141.688	141.697	141.499	141.537	
835.18	2013-12-12T18:00:00	141.881	141.940	141.716	141.719	141.850	141.913	141.685	
141.688	1312.99	2013-12-12T17:30:00	141.725	141.890	141.698	141.881	141.694	141.862	
141.667	141.850	2200.45	2013-12-12T17:00:00	141.897	141.942	141.705	141.725	141.872	
141.915	141.675	141.694	1762.52	2013-12-12T16:30:00	141.723	141.899	141.710	141.897	
141.697	141.874	141.680	141.872	1372.98	2013-12-12T16:00:00	141.504	141.727	141.497	
141.723	141.476	141.702	141.469	141.697	726.26	2013-12-12T15:30:00	141.596	141.609	
141.504	141.504	141.567	141.581	141.476	141.476	501.80	2013-12-12T15:00:00	141.493	
141.640	141.492	141.596	141.464	141.613	141.461	141.567	670.35	2013-12-12T14:30:00	
141.537	141.547	141.459	141.493	141.509	141.517	141.430	141.464	868.67	
2013-12-12T14:00:00	141.485	141.635	141.445	141.537	141.456	141.610	141.415	141.509	
965.15	2013-12-12T13:30:00	141.509	141.507	141.419	141.485	141.477	141.479	141.393	
141.456	786.76	2013-12-12T13:00:00	141.407	141.509	141.409	141.509	141.377	141.479	
141.379	141.477	604.61	2013-12-12T12:30:00	141.450	141.495	141.347	141.407	141.418	
141.465	141.318	141.377	516.84	2013-12-12T12:00:00	141.485	141.488	141.371	141.450	
141.454	141.459	141.347	141.418	564.80	2013-12-12T11:30:00	141.519	141.525	141.433	
141.485	141.491	141.499	141.401	141.454	739.81	2013-12-12T11:00:00	141.590	141.648	
141.453	141.519	141.559	141.623	141.426	141.491	516.67	2013-12-12T10:30:00	141.289	
141.612	141.280	141.590	141.264	141.583	141.256	141.559	482.08	2013-12-12T10:00:00	
141.408	141.418	141.236	141.289	141.380	141.387	141.209	141.264	0.16	
2013-12-12T09:30:00	141.309	141.471	141.288	141.408	141.280	141.442	141.256	141.380	
-66.68	2013-12-12T09:00:00	141.362	141.394	141.278	141.309	141.335	141.367	141.242	
141.280	-728.02	2013-12-12T08:30:00	141.263	141.362	141.209	141.362	141.233	141.335	
141.177	141.335	-1248.90	2013-12-12T08:00:00	141.298	141.313	141.244	141.263	141.251	
141.286	141.212	141.233	-1873.35	2013-12-12T07:30:00	141.278	141.370	141.277	141.298	
141.239	141.337	141.235	141.251	-2280.82	2013-12-12T07:00:00	141.237	141.303	141.174	
141.278	141.177	141.260	141.132	141.239	-2456.38	2013-12-12T06:30:00	141.201	141.282	
141.183	141.237	141.169	141.251	141.150	141.177	-2275.84	2013-12-12T06:00:00	141.200	
141.297	141.154	141.201	141.173	141.269	141.122	141.169	-1526.98	2013-12-12T05:30:00	
141.303	141.348	141.178	141.200	141.273	141.318	141.150	141.173	-344.76	
2013-12-12T05:00:00	141.435	141.469	141.261	141.303	141.404	141.443	141.236	141.273	
1100.01	2013-12-12T04:30:00	141.453	141.538	141.417	141.435	141.421	141.510	141.388	
141.404	2730.36	2013-12-12T04:00:00	141.568	141.581	141.398	141.453	141.542	141.553	
141.367	141.421	3175.89	2013-12-12T03:30:00	141.521	141.587	141.482	141.568	141.489	
141.558	141.451	141.542	2754.53	2013-12-12T03:00:00	141.377	141.574	141.318	141.521	
141.346	141.546	141.289	141.489	1532.42	2013-12-12T02:30:00	141.210	141.384	141.178	
141.377	141.181	141.362	141.147	141.346	802.42	2013-12-12T02:00:00	141.276	141.309	
141.106	141.210	141.245	141.279	141.084	141.181	285.17	2013-12-12T01:30:00	141.297	
141.335	141.181	141.276	141.268	141.309	141.153	141.245	466.84	2013-12-12T01:00:00	
141.320	141.356	141.239	141.297	141.291	141.328	141.213	141.268	-298.98	
2013-12-12T00:30:00	141.189	141.370	141.131	141.320	141.160	141.346	141.103	141.291	
728.98	2013-12-12T00:00:00	141.411	141.517	141.186	141.189	141.382	141.493	141.158	
141.160	2269.24	2013-12-11T23:30:00	141.605	141.641	141.314	141.411	141.575	141.617	
141.289	141.382	3920.22	2013-12-11T23:00:00	141.479	141.637	141.429	141.605	141.448	
141.611	141.399	141.575	3848.94	2013-12-11T22:30:00	141.300	141.480	141.300	141.479	
141.273	141.456	141.272	141.448	2778.37	2013-12-11T22:00:00	141.247	141.322	141.189	
141.300	141.217	141.297	141.159	141.273	2229.59	2013-12-11T21:30:00	141.206	141.296	
141.178	141.247	141.178	141.268	141.149	141.217	2172.90	2013-12-11T21:00:00	141.104	
141.225	141.113	141.206	141.083	141.198	141.086	141.178	2088.97	2013-12-11T20:30:00	
141.108	141.128	141.060	141.104	141.080	141.101	141.029	141.083	1997.09	
2013-12-11T20:00:00	141.141	141.160	141.059	141.108	141.112	141.131	141.032	141.080	
1542.62	2013-12-11T19:30:00	141.050	141.141	140.987	141.141	141.020	141.112	140.959	
141.112	813.12	2013-12-11T19:00:00	140.976	141.061	140.959	141.050	140.946	141.033	
140.929	141.020	478.45	2013-12-11T18:30:00	141.150	141.177	140.936	140.976	141.120	
141.148	140.905	140.946	99.67	2013-12-11T18:00:00	141.109	141.203	141.044	141.150	
141.084	141.175	141.015	141.120	-811.30	2013-12-11T17:30:00	141.042	141.113	140.947	
141.109	141.014	141.085	140.921	141.084	-1386.71	2013-12-11T17:00:00	141.124	141.201	
140.978	141.042	141.094	141.173	140.951	141.014	-1377.14	2013-12-11T16:30:00	141.249	
141.256	141.043	141.124	141.219	141.230	141.019	141.094	-440.41	2013-12-11T16:00:00	
141.398	141.414	141.197	141.249	141.368	141.385	141.167	141.219	31.60	
2013-12-11T15:30:00	141.324	141.436	141.317	141.398	141.293	141.410	141.290	141.368	
538.06	2013-12-11T15:00:00	141.391	141.413	141.312	141.324	141.361	141.384	141.283	
141.293	1036.03	2013-12-11T14:30:00	141.432	141.478	141.378	141.391	141.406	141.449	
141.346	141.361	1425.43	2013-12-11T14:00:00	141.385	141.444	141.358	141.432	141.358	
141.418	141.329	141.406	868.57	2013-12-11T13:30:00	141.303	141.401	141.176	141.385	
141.277	141.371	141.149	141.358	-216.64	2013-12-11T13:00:00	141.233	141.332	141.214	
141.303	141.204	141.304	141.186	141.277	-720.33	2013-12-11T12:30:00	141.384	141.387	
141.157	141.233	141.356	141.358	141.128	141.204	-887.99	2013-12-11T12:00:00	141.368	
141.429	141.352	141.384	141.340	141.405	141.325	141.356	-756.27	2013-12-11T11:30:00	
141.445	141.447	141.328	141.368	141.416	141.418	141.303	141.340	-748.64	
2013-12-11T11:00:00	141.448	141.482	141.412	141.445	141.420	141.455	141.383	141.416	
-1247.41	2013-12-11T10:30:00	141.394	141.448	141.327	141.448	141.369	141.422	141.300	
141.420	-1130.18	2013-12-11T10:00:00	141.536	141.537	141.388	141.394	141.508	141.510	
141.362	141.369	-581.27	2013-12-11T09:30:00	141.665	141.689	141.530	141.536	141.636	
141.661	141.502	141.508	-98.58	2013-12-11T09:00:00	141.510	141.704	141.502	141.665	
141.480	141.676	141.473	141.636	377.51	2013-12-11T08:30:00	141.623	141.680	141.490	
141.510	141.592	141.654	141.461	141.480	237.92	2013-12-11T08:00:00	141.576	141.651	
141.497	141.623	141.541	141.626	141.465	141.592	111.41	2013-12-11T07:30:00	141.485	
141.594	141.483	141.576	141.451	141.568	141.439	141.541	-204.94	2013-12-11T07:00:00	
141.547	141.560	141.469	141.485	141.496	141.507	141.423	141.451	-725.32	
2013-12-11T06:30:00	141.437	141.560	141.432	141.547	141.406	141.522	141.401	141.496	
-1000.55	2013-12-11T06:00:00	141.469	141.488	141.400	141.437	141.442	141.459	141.370	
141.406	-1047.70	2013-12-11T05:30:00	141.480	141.547	141.448	141.469	141.450	141.519	
141.418	141.442	-1331.98	2013-12-11T05:00:00	141.402	141.516	141.403	141.480	141.373	
141.486	141.374	141.450	-1447.05	2013-12-11T04:30:00	141.437	141.494	141.387	141.402	
141.405	141.465	141.356	141.373	-1554.37	2013-12-11T04:00:00	141.395	141.522	141.391	
141.437	141.375	141.508	141.365	141.405	-1609.46	2013-12-11T03:30:00	141.449	141.481	
141.307	141.395	141.420	141.451	141.280	141.375	-1367.14	2013-12-11T03:00:00	141.574	
141.597	141.439	141.449	141.545	141.569	141.415	141.420	-1445.30	2013-12-11T02:30:00	
141.543	141.593	141.461	141.574	141.511	141.565	141.434	141.545	-1522.93	
2013-12-11T02:00:00	141.525	141.568	141.441	141.543	141.500	141.540	141.412	141.511	
-1438.81	2013-12-11T01:30:00	141.657	141.703	141.517	141.525	141.628	141.676	141.493	
141.500	-734.37	2013-12-11T01:00:00	141.688	141.784	141.613	141.657	141.660	141.754	
141.585	141.628	449.02	2013-12-11T00:30:00	141.622	141.838	141.613	141.688	141.595	
141.811	141.587	141.660	1093.67	2013-12-11T00:00:00	141.623	141.712	141.514	141.622	
141.592	141.686	141.486	141.595	1461.70	2013-12-10T23:30:00	141.526	141.723	141.518	
141.623	141.497	141.702	141.490	141.592	767.12	2013-12-10T23:00:00	141.543	141.562	
141.418	141.526	141.514	141.535	141.388	141.497	-820.30	2013-12-10T22:30:00	141.401	
141.547	141.395	141.543	141.372	141.524	141.370	141.514	-1795.59	2013-12-10T22:00:00	
141.556	141.614	141.293	141.401	141.526	141.590	141.265	141.372	-2111.28	
2013-12-10T21:30:00	141.585	141.659	141.496	141.556	141.554	141.630	141.471	141.526	
-1092.90	2013-12-10T21:00:00	141.708	141.721	141.575	141.585	141.680	141.693	141.550	
141.554	-726.36	2013-12-10T20:30:00	141.705	141.732	141.639	141.708	141.679	141.703	
141.611	141.680	-611.45	2013-12-10T20:00:00	141.734	141.764	141.648	141.705	141.706	
141.736	141.621	141.679	-545.70	2013-12-10T19:30:00	141.842	141.869	141.718	141.734	
141.814	141.840	141.687	141.706	-135.25	2013-12-10T19:00:00	141.906	141.916	141.789	
141.842	141.880	141.887	141.761	141.814	-255.96	2013-12-10T18:30:00	141.818	141.932	
141.799	141.906	141.790	141.903	141.773	141.880	-641.84	2013-12-10T18:00:00	141.873	
141.891	141.759	141.818	141.846	141.863	141.728	141.790	-1148.61	2013-12-10T17:30:00	
141.851	141.950	141.789	141.873	141.820	141.924	141.758	141.846	-1297.55	
2013-12-10T17:00:00	141.974	141.993	141.732	141.851	141.952	141.963	141.703	141.820	
-1252.35	2013-12-10T16:30:00	142.041	142.112	141.926	141.974	142.013	142.083	141.897	
141.952	-775.97	2013-12-10T16:00:00	142.125	142.156	142.025	142.041	142.097	142.132	
142.000	142.013	-639.46	2013-12-10T15:30:00	141.978	142.182	141.970	142.125	141.949	
142.164	141.940	142.097	-277.19	2013-12-10T15:00:00	142.082	142.107	141.968	141.978	
142.056	142.080	141.938	141.949	-422.27	2013-12-10T14:30:00	142.090	142.101	142.028	
142.082	142.058	142.077	142.004	142.056	-275.57	2013-12-10T14:00:00	142.056	142.116	
142.049	142.090	142.031	142.089	142.023	142.058	-7.75	2013-12-10T13:30:00	142.074	
142.105	142.053	142.056	142.047	142.081	142.029	142.031	154.14	2013-12-10T13:00:00	
142.069	142.105	142.024	142.074	142.047	142.077	142.001	142.047	562.18	
2013-12-10T12:30:00	142.055	142.134	142.046	142.069	142.025	142.106	142.016	142.047	
614.41	2013-12-10T12:00:00	142.048	142.087	142.009	142.055	142.022	142.061	141.977	
142.025	580.46	2013-12-10T11:30:00	141.993	142.077	141.952	142.048	141.964	142.052	
141.924	142.022	597.82	2013-12-10T11:00:00	141.959	142.108	141.906	141.993	141.932	
142.081	141.879	141.964	188.29	2013-12-10T10:30:00	141.951	141.979	141.841	141.959	
141.921	141.951	141.814	141.932	-236.64	2013-12-10T10:00:00	141.914	141.979	141.901	
141.951	141.883	141.951	141.869	141.921	-163.33	2013-12-10T09:30:00	141.989	142.043	
141.901	141.914	141.961	142.015	141.870	141.883	-32.51	2013-12-10T09:00:00	141.870	
142.018	141.848	141.989	141.840	141.995	141.816	141.961	532.68	2013-12-10T08:30:00	
141.962	141.978	141.870	141.870	141.935	141.950	141.840	141.840	474.31	
2013-12-10T08:00:00	141.883	141.966	141.884	141.962	141.848	141.943	141.850	141.935	
546.80	2013-12-10T07:30:00	141.842	141.911	141.840	141.883	141.806	141.873	141.803	
141.848	518.35	2013-12-10T07:00:00	141.904	141.970	141.814	141.842	141.864	141.863	
141.772	141.806	779.89	2013-12-10T06:30:00	141.942	141.963	141.871	141.904	141.912	
141.932	141.830	141.864	855.77	2013-12-10T06:00:00	141.935	141.959	141.901	141.942	
141.905	141.931	141.875	141.912	779.86	2013-12-10T05:30:00	141.856	141.947	141.858	
141.935	141.829	141.919	141.828	141.905	754.38	2013-12-10T05:00:00	141.833	141.896	
141.777	141.856	141.807	141.872	141.749	141.829	1026.32	2013-12-10T04:30:00	141.828	
141.881	141.800	141.833	141.797	141.853	141.769	141.807	1555.87	2013-12-10T04:00:00	
141.887	141.907	141.804	141.828	141.857	141.877	141.775	141.797	1923.78	
2013-12-10T03:30:00	141.732	141.952	141.732	141.887	141.701	141.922	141.702	141.857	
2377.82	2013-12-10T03:00:00	141.707	141.791	141.661	141.732	141.676	141.763	141.632	
141.701	3004.00	2013-12-10T02:30:00	141.772	141.818	141.660	141.707	141.744	141.795	
141.632	141.676	3380.23	2013-12-10T02:00:00	141.699	141.797	141.646	141.772	141.670	
141.769	141.614	141.744	2805.09	2013-12-10T01:30:00	141.549	141.705	141.520	141.699	
141.523	141.677	141.489	141.670	1572.10	2013-12-10T01:00:00	141.475	141.577	141.418	
141.549	141.447	141.551	141.390	141.523	1487.55	2013-12-10T00:30:00	141.564	141.593	
141.458	141.475	141.535	141.565	141.430	141.447	1694.47	2013-12-10T00:00:00	141.497	
141.628	141.480	141.564	141.467	141.599	141.450	141.535	1962.67	2013-12-09T23:30:00	
141.493	141.521	141.414	141.497	141.464	141.494	141.384	141.467	1438.46	
2013-12-09T23:00:00	141.447	141.526	141.428	141.493	141.422	141.497	141.399	141.464	
402.92	2013-12-09T22:30:00	141.304	141.480	141.251	141.447	141.276	141.454	141.228	
141.422	115.14	2013-12-09T22:00:00	141.424	141.429	141.278	141.304	141.393	141.401	
141.249	141.276	-27.40	2013-12-09T21:30:00	141.445	141.469	141.355	141.424	141.414	
141.442	141.324	141.393	246.30	2013-12-09T21:00:00	141.383	141.466	141.375	141.445	
141.353	141.437	141.347	141.414	900.48	2013-12-09T20:30:00	141.434	141.476	141.368	
141.383	141.404	141.449	141.337	141.353	1188.24	2013-12-09T20:00:00	141.309	141.444	
141.273	141.434	141.272	141.415	141.244	141.404	1904.79	2013-12-09T19:30:00	141.455	
141.455	141.237	141.309	141.429	141.428	141.209	141.272	2061.17	2013-12-09T19:00:00	
141.426	141.478	141.416	141.455	141.397	141.452	141.387	141.429	2538.49	
2013-12-09T18:30:00	141.500	141.504	141.353	141.426	141.473	141.476	141.325	141.397	
2740.69	2013-12-09T18:00:00	141.490	141.556	141.426	141.500	141.460	141.531	141.396	
141.473	2434.76	2013-12-09T17:30:00	141.371	141.515	141.347	141.490	141.343	141.486	
141.318	141.460	1735.30	2013-12-09T17:00:00	141.235	141.443	141.198	141.371	141.206	
141.416	141.170	141.343	776.04	2013-12-09T16:30:00	141.219	141.252	141.078	141.235	
141.192	141.226	141.049	141.206	300.07	2013-12-09T16:00:00	141.141	141.307	141.130	
141.219	141.112	141.279	141.104	141.192	236.92	2013-12-09T15:30:00	141.148	141.211	
141.129	141.141	141.118	141.182	141.098	141.112	820.62	2013-12-09T15:00:00	141.288	
141.303	141.144	141.148	141.258	141.274	141.115	141.118	1077.41	2013-12-09T14:30:00	
141.239	141.305	141.239	141.288	141.209	141.276	141.207	141.258	1188.69	
2013-12-09T14:00:00	141.208	141.261	141.112	141.239	141.177	141.236	141.083	141.209	
744.35	2013-12-09T13:30:00	141.080	141.224	141.077	141.208	141.052	141.195	141.046	
141.177	439.40	2013-12-09T13:00:00	141.084	141.103	141.011	141.080	141.054	141.077	
140.982	141.052	144.71	2013-12-09T12:30:00	141.124	141.126	141.025	141.084	141.093	
141.096	140.994	141.054	83.09	2013-12-09T12:00:00	141.181	141.215	141.121	141.124	
141.152	141.189	141.093	141.093	-155.88	2013-12-09T11:30:00	141.165	141.181	141.122	
141.181	141.135	141.155	141.092	141.152	13.73	2013-12-09T11:00:00	141.270	141.311	
141.153	141.165	141.241	141.281	141.129	141.135	-452.36	2013-12-09T10:30:00	141.137	
141.287	141.096	141.270	141.108	141.257	141.065	141.241	-224.06	2013-12-09T10:00:00	
141.339	141.337	141.111	141.137	141.307	141.306	141.085	141.108	-579.71	
2013-12-09T09:30:00	141.225	141.363	141.227	141.339	141.195	141.334	141.196	141.307	
-340.03	2013-12-09T09:00:00	141.383	141.383	141.140	141.225	141.351	141.354	141.111	
141.195	-58.08	2013-12-09T08:30:00	141.470	141.506	141.338	141.383	141.428	141.481	
141.308	141.351	412.44	2013-12-09T08:00:00	141.465	141.557	141.388	141.470	141.431	
141.528	141.316	141.428	918.54	2013-12-09T07:30:00	141.460	141.582	141.458	141.465	
141.401	141.533	141.383	141.431	944.32	2013-12-09T07:00:00	141.083	141.476	141.173	
141.460	140.992	141.411	141.114	141.401	756.83	2013-12-07T06:30:00	140.976	141.086	
140.955	141.086	140.944	141.034	140.898	141.005	176.83	2013-12-07T06:00:00	140.971	
140.990	140.906	140.976	140.943	140.963	140.873	140.944	240.35	2013-12-07T05:30:00	
140.962	141.038	140.950	140.971	140.932	141.006	140.921	140.943	366.60	
2013-12-07T05:00:00	140.953	140.971	140.876	140.962	140.922	140.943	140.844	140.932	
907.40	2013-12-07T04:30:00	140.947	140.978	140.930	140.953	140.920	140.952	140.902	
140.922	1274.62	2013-12-07T04:00:00	140.916	140.983	140.895	140.947	140.890	140.953	
