日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	
EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	CMO	2014-02-15T07:00:00	139.425	139.481	
134.576	6.49	2013-11-21T07:30:00	134.426	134.471	134.390	134.469	134.380	134.440	
134.360	134.440	-19.93	2013-11-21T07:00:00	134.466	134.524	134.420	134.426	134.396	
134.459	134.374	134.380	-29.62	2013-11-21T06:30:00	134.425	134.482	134.360	134.466	
134.394	134.442	134.332	134.396	-15.26	2013-11-21T06:00:00	134.279	134.437	134.280	
134.425	134.251	134.408	134.252	134.394	-20.41	2013-11-21T05:30:00	134.366	134.365	
134.199	134.279	134.338	134.339	134.172	134.251	-63.16	2013-11-21T05:00:00	134.342	
134.404	134.122	134.366	134.318	134.376	134.094	134.338	-37.99	2013-11-21T04:30:00	
134.469	134.493	134.288	134.342	134.438	134.466	134.260	134.318	-63.53	
2013-11-21T04:00:00	134.574	134.630	134.383	134.469	134.532	134.580	134.361	134.438	
-74.58	2013-11-21T03:30:00	134.582	134.620	134.552	134.574	134.552	134.590	134.522	
134.532	-75.03	2013-11-21T03:00:00	134.561	134.605	134.509	134.582	134.534	134.577	
134.481	134.552	-76.20	2013-11-21T02:30:00	134.507	134.582	134.491	134.561	134.481	
134.554	134.461	134.534	-55.42	2013-11-21T02:00:00	134.542	134.605	134.497	134.507	
134.514	134.577	134.467	134.481	-53.44	2013-11-21T01:30:00	134.592	134.668	134.502	
134.542	134.563	134.643	134.473	134.514	-55.74	2013-11-21T01:00:00	134.543	134.649	
134.505	134.592	134.512	134.617	134.475	134.563	-38.22	2013-11-21T00:30:00	134.773	
134.786	134.429	134.543	134.743	134.762	134.401	134.512	-43.75	2013-11-21T00:00:00	
135.230	135.303	134.674	134.773	135.154	135.277	134.641	134.743	-34.91	
2013-11-20T23:30:00	135.295	135.311	135.154	135.230	135.265	135.284	135.124	135.154	
-12.58	2013-11-20T23:00:00	135.359	135.361	135.233	135.295	135.333	135.333	135.206	
135.265	9.91	2013-11-20T22:30:00	135.267	135.446	135.206	135.359	135.178	135.420	
135.149	135.333	-5.22	2013-11-20T22:00:00	135.140	135.267	135.132	135.267	135.110	
135.229	135.101	135.178	-15.05	2013-11-20T21:30:00	135.234	135.233	135.122	135.140	
135.204	135.202	135.090	135.110	-33.10	2013-11-20T21:00:00	135.099	135.298	135.095	
135.234	135.069	135.274	135.065	135.204	-13.21	2013-11-20T20:30:00	135.098	135.122	
135.022	135.099	135.069	135.094	134.994	135.069	-49.83	2013-11-20T20:00:00	135.157	
135.224	135.082	135.098	135.127	135.194	135.054	135.069	-48.00	2013-11-20T19:30:00	
135.284	135.301	135.133	135.157	135.257	135.275	135.104	135.127	-43.23	
2013-11-20T19:00:00	135.218	135.284	135.145	135.284	135.188	135.257	135.119	135.257	
-34.60	2013-11-20T18:30:00	135.410	135.464	135.160	135.218	135.380	135.437	135.130	
135.188	-36.64	2013-11-20T18:00:00	135.330	135.459	135.220	135.410	135.302	135.438	
135.193	135.380	-26.52	2013-11-20T17:30:00	135.417	135.514	135.285	135.330	135.389	
135.486	135.254	135.302	-43.22	2013-11-20T17:00:00	135.338	135.549	135.174	135.417	
135.313	135.524	135.145	135.389	-34.85	2013-11-20T16:30:00	135.537	135.540	135.266	
135.338	135.512	135.513	135.238	135.313	-66.94	2013-11-20T16:00:00	135.526	135.618	
135.510	135.537	135.501	135.594	135.482	135.512	-3.19	2013-11-20T15:30:00	135.520	
135.575	135.492	135.526	135.494	135.546	135.467	135.501	4.11	2013-11-20T15:00:00	
135.540	135.606	135.505	135.520	135.512	135.576	135.477	135.494	-19.78	
2013-11-20T14:30:00	135.483	135.574	135.478	135.540	135.454	135.544	135.449	135.512	
-28.36	2013-11-20T14:00:00	135.570	135.579	135.474	135.483	135.546	135.556	135.444	
135.454	-47.16	2013-11-20T13:30:00	135.571	135.598	135.500	135.570	135.541	135.572	
135.471	135.546	-36.35	2013-11-20T13:00:00	135.587	135.615	135.537	135.571	135.557	
135.585	135.508	135.541	-49.23	2013-11-20T12:30:00	135.671	135.678	135.559	135.587	
135.641	135.650	135.528	135.557	-26.12	2013-11-20T12:00:00	135.551	135.713	135.540	
135.671	135.525	135.687	135.511	135.641	4.74	2013-11-20T11:30:00	135.511	135.585	
135.489	135.551	135.483	135.558	135.460	135.525	-2.69	2013-11-20T11:00:00	135.632	
135.630	135.478	135.511	135.603	135.601	135.450	135.483	-6.85	2013-11-20T10:30:00	
135.720	135.723	135.555	135.632	135.687	135.694	135.529	135.603	12.37	
2013-11-20T10:00:00	135.777	135.776	135.599	135.720	135.745	135.744	135.570	135.687	
7.35	2013-11-20T09:30:00	135.761	135.806	135.685	135.777	135.739	135.776	135.653	
135.745	21.49	2013-11-20T09:00:00	135.889	135.879	135.745	135.761	135.859	135.853	
135.716	135.739	28.28	2013-11-20T08:30:00	135.780	135.956	135.749	135.889	135.750	
135.931	135.720	135.859	56.60	2013-11-20T08:00:00	135.647	135.940	135.566	135.780	
135.603	135.920	135.530	135.750	30.49	2013-11-20T07:30:00	135.589	135.661	135.575	
135.647	135.545	135.623	135.536	135.603	30.93	2013-11-20T07:00:00	135.592	135.669	
135.566	135.589	135.532	135.597	135.516	135.545	14.87	2013-11-20T06:30:00	135.561	
135.611	135.535	135.592	135.529	135.574	135.496	135.532	-20.27	2013-11-20T06:00:00	
135.672	135.687	135.542	135.561	135.641	135.656	135.516	135.529	6.63	
2013-11-20T05:30:00	135.650	135.700	135.607	135.672	135.618	135.671	135.578	135.641	
28.20	2013-11-20T05:00:00	135.585	135.687	135.575	135.650	135.556	135.662	135.549	
135.618	15.31	2013-11-20T04:30:00	135.589	135.639	135.565	135.585	135.559	135.609	
135.535	135.556	21.38	2013-11-20T04:00:00	135.637	135.649	135.569	135.589	135.607	
135.620	135.541	135.559	46.15	2013-11-20T03:30:00	135.487	135.649	135.464	135.637	
135.457	135.623	135.434	135.607	37.16	2013-11-20T03:00:00	135.511	135.627	135.484	
135.487	135.480	135.600	135.456	135.457	32.74	2013-11-20T02:30:00	135.678	135.703	
135.495	135.511	135.653	135.680	135.467	135.480	42.51	2013-11-20T02:00:00	135.508	
135.725	135.473	135.678	135.478	135.709	135.443	135.653	70.43	2013-11-20T01:30:00	
135.478	135.529	135.374	135.508	135.447	135.501	135.345	135.478	59.05	
2013-11-20T01:00:00	135.533	135.554	135.387	135.478	135.507	135.529	135.363	135.447	
61.73	2013-11-20T00:30:00	135.415	135.590	135.417	135.533	135.389	135.562	135.388	
135.507	56.41	2013-11-20T00:00:00	135.059	135.578	135.043	135.415	135.038	135.563	
135.014	135.389	54.70	2013-11-19T23:30:00	135.185	135.231	135.012	135.059	135.160	
135.203	135.001	135.038	37.05	2013-11-19T23:00:00	135.116	135.208	135.046	135.185	
135.089	135.179	135.020	135.160	54.69	2013-11-19T22:30:00	134.985	135.151	134.974	
135.116	134.955	135.130	134.948	135.089	41.34	2013-11-19T22:00:00	134.815	134.987	
134.814	134.985	134.786	134.957	134.785	134.955	23.59	2013-11-19T21:30:00	134.858	
134.888	134.778	134.815	134.829	134.860	134.749	134.786	-20.08	2013-11-19T21:00:00	
134.747	134.880	134.715	134.858	134.721	134.851	134.687	134.829	-19.60	
2013-11-19T20:30:00	134.850	134.906	134.731	134.747	134.821	134.879	134.703	134.721	
-23.77	2013-11-19T20:00:00	134.775	134.872	134.758	134.850	134.749	134.848	134.728	
134.821	-21.35	2013-11-19T19:30:00	134.756	134.903	134.746	134.775	134.726	134.873	
134.716	134.749	-27.84	2013-11-19T19:00:00	134.823	134.817	134.669	134.756	134.752	
134.780	134.643	134.726	-36.09	2013-11-19T18:30:00	134.819	134.887	134.735	134.823	
134.793	134.859	134.705	134.752	-15.38	2013-11-19T18:00:00	134.841	134.889	134.707	
134.819	134.813	134.863	134.679	134.793	7.66	2013-11-19T17:30:00	134.915	134.935	
134.699	134.841	134.888	134.906	134.669	134.813	-4.98	2013-11-19T17:00:00	134.954	
135.178	134.894	134.915	134.928	135.151	134.864	134.888	12.52	2013-11-19T16:30:00	
134.862	135.001	134.850	134.954	134.837	134.973	134.820	134.928	33.70	
2013-11-19T16:00:00	134.952	134.973	134.829	134.862	134.922	134.944	134.799	134.837	
28.14	2013-11-19T15:30:00	134.902	134.965	134.886	134.952	134.874	134.936	134.861	
134.922	36.60	2013-11-19T15:00:00	134.906	134.951	134.880	134.902	134.883	134.927	
134.852	134.874	48.08	2013-11-19T14:30:00	134.849	134.998	134.846	134.906	134.824	
134.972	134.822	134.883	12.14	2013-11-19T14:00:00	134.781	134.900	134.747	134.849	
134.755	134.871	134.716	134.824	-7.46	2013-11-19T13:30:00	134.869	134.897	134.774	
134.781	134.841	134.870	134.742	134.755	-15.49	2013-11-19T13:00:00	134.856	134.903	
134.840	134.869	134.825	134.873	134.809	134.841	2.73	2013-11-19T12:30:00	134.774	
134.877	134.752	134.856	134.745	134.854	134.724	134.825	-10.47	2013-11-19T12:00:00	
134.724	134.840	134.706	134.774	134.696	134.816	134.676	134.745	-25.57	
2013-11-19T11:30:00	134.778	134.828	134.701	134.724	134.750	134.804	134.673	134.696	
-40.34	2013-11-19T11:00:00	134.628	134.799	134.627	134.778	134.598	134.771	134.596	
134.750	-39.92	2013-11-19T10:30:00	134.820	134.830	134.628	134.628	134.791	134.800	
134.596	134.598	-62.09	2013-11-19T10:00:00	134.912	134.926	134.726	134.820	134.883	
134.898	134.698	134.791	-24.44	2013-11-19T09:30:00	134.897	134.994	134.829	134.912	
134.869	134.962	134.800	134.883	10.40	2013-11-19T09:00:00	134.850	134.988	134.819	
134.897	134.822	134.959	134.792	134.869	-28.90	2013-11-19T08:30:00	134.937	134.982	
134.804	134.850	134.905	134.953	134.778	134.822	-51.93	2013-11-19T08:00:00	134.972	
135.004	134.890	134.937	134.925	134.961	134.860	134.905	-41.45	2013-11-19T07:30:00	
135.039	135.073	134.934	134.972	134.984	135.036	134.892	134.925	-41.68	
2013-11-19T07:00:00	135.078	135.093	135.028	135.039	135.033	135.042	134.945	134.984	
-29.97	2013-11-19T06:30:00	135.010	135.099	135.007	135.078	134.978	135.065	134.975	
135.033	-34.33	2013-11-19T06:00:00	134.946	135.032	134.916	135.010	134.910	135.001	
134.876	134.978	-31.07	2013-11-19T05:30:00	134.858	134.966	134.762	134.946	134.834	
134.940	134.735	134.910	-45.86	2013-11-19T05:00:00	135.098	135.102	134.827	134.858	
135.069	135.074	134.797	134.834	-61.27	2013-11-19T04:30:00	135.281	135.301	135.089	
135.098	135.252	135.271	135.061	135.069	-23.19	2013-11-19T04:00:00	135.255	135.311	
135.225	135.281	135.225	135.284	135.196	135.252	-7.26	2013-11-19T03:30:00	135.277	
135.293	135.232	135.255	135.248	135.263	135.202	135.225	3.83	2013-11-19T03:00:00	
135.234	135.323	135.225	135.277	135.210	135.295	135.194	135.248	22.45	
2013-11-19T02:30:00	135.334	135.353	135.231	135.234	135.309	135.324	135.203	135.210	
3.04	2013-11-19T02:00:00	135.262	135.350	135.262	135.334	135.234	135.321	135.235	
135.309	23.02	2013-11-19T01:30:00	135.302	135.315	135.234	135.262	135.276	135.290	
135.206	135.234	-0.79	2013-11-19T01:00:00	135.305	135.338	135.232	135.302	135.277	
135.313	135.202	135.276	5.24	2013-11-19T00:30:00	135.227	135.307	135.146	135.305	
135.200	135.281	135.116	135.277	14.29	2013-11-19T00:00:00	135.312	135.320	135.187	
135.227	135.286	135.294	135.157	135.200	18.03	2013-11-18T23:30:00	135.229	135.323	
135.222	135.312	135.205	135.304	135.192	135.286	49.73	2013-11-18T23:00:00	135.147	
135.280	135.139	135.229	135.116	135.253	135.113	135.205	42.80	2013-11-18T22:30:00	
135.217	135.273	135.131	135.147	135.191	135.245	135.102	135.116	32.36	
2013-11-18T22:00:00	135.217	135.320	135.204	135.217	135.187	135.296	135.177	135.191	
73.05	2013-11-18T21:30:00	135.265	135.307	135.182	135.217	135.238	135.279	135.152	
135.187	45.88	2013-11-18T21:00:00	135.280	135.324	135.240	135.265	135.251	135.299	
135.213	135.238	58.06	2013-11-18T20:30:00	135.233	135.304	135.167	135.280	135.202	
135.282	135.136	135.251	48.81	2013-11-18T20:00:00	135.128	135.258	135.102	135.233	
135.101	135.233	135.071	135.202	48.43	2013-11-18T19:30:00	135.040	135.153	135.036	
135.128	135.011	135.124	135.009	135.101	1.68	2013-11-18T19:00:00	135.026	135.113	
134.981	135.040	134.997	135.084	134.953	135.011	-7.75	2013-11-18T18:30:00	135.014	
135.065	134.980	135.026	134.983	135.040	134.952	134.997	8.32	2013-11-18T18:00:00	
134.868	135.018	134.830	135.014	134.844	134.990	134.803	134.983	-4.47	
2013-11-18T17:30:00	134.958	134.975	134.808	134.868	134.931	134.946	134.782	134.844	
-45.06	2013-11-18T17:00:00	134.964	135.019	134.908	134.958	134.939	134.994	134.878	
134.931	-30.23	2013-11-18T16:30:00	135.016	135.069	134.957	134.964	134.984	135.042	
134.928	134.939	-37.15	2013-11-18T16:00:00	134.968	135.056	134.965	135.016	134.939	
135.027	134.936	134.984	-31.76	2013-11-18T15:30:00	135.117	135.130	134.938	134.968	
135.091	135.102	134.909	134.939	-43.72	2013-11-18T15:00:00	135.081	135.162	135.050	
135.117	135.053	135.133	135.022	135.091	-29.28	2013-11-18T14:30:00	134.968	135.081	
134.918	135.081	134.944	135.054	134.890	135.053	-9.50	2013-11-18T14:00:00	135.039	
135.048	134.881	134.968	135.014	135.018	134.861	134.944	-37.23	2013-11-18T13:30:00	
135.185	135.186	134.991	135.039	135.159	135.161	134.962	135.014	-24.39	
2013-11-18T13:00:00	135.157	135.209	135.127	135.185	135.126	135.180	135.100	135.159	
-24.70	2013-11-18T12:30:00	135.236	135.237	135.140	135.157	135.205	135.207	135.110	
135.126	-39.17	2013-11-18T12:00:00	135.222	135.276	135.215	135.236	135.199	135.252	
135.187	135.205	-6.07	2013-11-18T11:30:00	135.257	135.255	135.189	135.222	135.228	
135.226	135.161	135.199	-14.44	2013-11-18T11:00:00	135.274	135.286	135.218	135.257	
135.245	135.257	135.188	135.228	11.11	2013-11-18T10:30:00	135.139	135.278	135.134	
135.274	135.112	135.251	135.104	135.245	-4.31	2013-11-18T10:00:00	135.177	135.206	
135.124	135.139	135.148	135.176	135.097	135.112	-8.10	2013-11-18T09:30:00	135.163	
135.241	135.128	135.177	135.134	135.216	135.098	135.148	-8.74	2013-11-18T09:00:00	
135.313	135.314	135.119	135.163	135.281	135.283	135.093	135.134	-6.96	
2013-11-18T08:30:00	135.352	135.367	135.289	135.313	135.323	135.336	135.261	135.281	
17.51	2013-11-18T08:00:00	135.304	135.371	135.266	135.352	135.236	135.341	135.233	
135.323	28.40	2013-11-18T07:30:00	135.328	135.333	135.282	135.304	135.278	135.284	
135.232	135.236	13.99	2013-11-18T07:00:00	135.310	135.391	135.249	135.328	135.116	
135.331	135.191	135.278	26.91	2013-11-16T06:30:00	135.313	135.336	135.209	135.273	
135.277	135.295	135.140	135.157	17.33	2013-11-16T06:00:00	135.201	135.314	135.195	
135.313	135.170	135.282	135.154	135.277	73.14	2013-11-16T05:30:00	135.240	135.241	
135.201	135.201	135.211	135.210	135.166	135.170	9.19	2013-11-16T05:00:00	135.214	
135.259	135.204	135.240	135.185	135.231	135.176	135.211	32.78	2013-11-16T04:30:00	
135.205	135.250	135.197	135.214	135.177	135.227	135.168	135.185	5.13	
2013-11-16T04:00:00	135.190	135.233	135.178	135.205	135.162	135.204	135.154	135.177	
5.13	2013-11-16T03:30:00	135.198	135.234	135.190	135.190	135.168	135.210	135.161	
135.162	12.42	2013-11-16T03:00:00	135.183	135.241	135.170	135.198	135.155	135.213	
135.144	135.168	21.17	2013-11-16T02:30:00	135.117	135.193	135.108	135.183	135.087	
135.166	135.080	135.155	35.17	2013-11-16T02:00:00	135.048	135.126	135.035	135.117	
135.021	135.098	135.008	135.087	27.13	2013-11-16T01:30:00	135.166	135.181	135.048	
135.048	135.137	135.153	135.021	135.021	-0.38	2013-11-16T01:00:00	135.121	135.213	
135.118	135.166	135.092	135.188	135.094	135.137	32.73	2013-11-16T00:30:00	135.190	
135.250	135.118	135.121	135.164	135.223	135.089	135.092	24.12	2013-11-16T00:00:00	
135.186	135.277	135.110	135.190	135.156	135.248	135.081	135.164	45.29	
2013-11-15T23:30:00	135.137	135.217	135.105	135.186	135.107	135.193	135.080	135.156	
55.82	2013-11-15T23:00:00	135.091	135.239	135.084	135.137	135.067	135.219	135.055	
135.107	56.03	2013-11-15T22:30:00	134.992	135.112	134.925	135.091	134.951	135.086	
134.901	135.067	42.51	2013-11-15T22:00:00	134.974	135.063	134.938	134.992	134.947	
135.035	134.910	134.951	-6.20	2013-11-15T21:30:00	135.048	135.080	134.945	134.974	
135.023	135.054	134.918	134.947	-0.77	2013-11-15T21:00:00	135.021	135.084	134.966	
135.048	134.993	135.058	134.941	135.023	55.51	2013-11-15T20:30:00	135.025	135.052	
134.956	135.021	134.996	135.024	134.931	134.993	58.13	2013-11-15T20:00:00	135.035	
135.092	135.005	135.025	135.010	135.065	134.975	134.996	38.28	2013-11-15T19:30:00	
134.948	135.045	134.898	135.035	134.921	135.018	134.873	135.010	58.10	
2013-11-15T19:00:00	134.901	134.980	134.883	134.948	134.870	134.952	134.854	134.921	
31.11	2013-11-15T18:30:00	134.926	135.017	134.859	134.901	134.894	134.992	134.831	
134.870	21.35	2013-11-15T18:00:00	135.001	135.024	134.878	134.926	134.974	134.996	
134.848	134.894	6.85	2013-11-15T17:30:00	134.977	135.064	134.914	135.001	134.950	
135.037	134.886	134.974	20.49	2013-11-15T17:00:00	134.752	135.023	134.739	134.977	
134.721	134.996	134.710	134.950	6.56	2013-11-15T16:30:00	134.684	134.833	134.672	
134.752	134.657	134.805	134.646	134.721	-10.86	2013-11-15T16:00:00	134.771	134.793	
134.666	134.684	134.743	134.765	134.635	134.657	-20.04	2013-11-15T15:30:00	134.508	
134.771	134.503	134.771	134.483	134.744	134.477	134.743	-14.71	2013-11-15T15:00:00	
134.649	134.670	134.508	134.508	134.623	134.643	134.481	134.483	-63.73	
2013-11-15T14:30:00	134.695	134.788	134.648	134.649	134.667	134.759	134.619	134.623	
-55.15	2013-11-15T14:00:00	134.850	134.850	134.675	134.695	134.820	134.822	134.651	
134.667	-23.19	2013-11-15T13:30:00	134.787	134.870	134.778	134.850	134.756	134.842	
134.751	134.820	20.93	2013-11-15T13:00:00	134.901	134.899	134.753	134.787	134.874	
134.871	134.723	134.756	3.50	2013-11-15T12:30:00	134.856	134.907	134.829	134.901	
134.827	134.879	134.801	134.874	49.58	2013-11-15T12:00:00	134.874	134.946	134.853	
134.856	134.843	134.917	134.826	134.827	47.65	2013-11-15T11:30:00	134.901	134.937	
134.858	134.874	134.871	134.912	134.829	134.843	58.05	2013-11-15T11:00:00	134.898	
134.934	134.835	134.901	134.873	134.907	134.807	134.871	76.00	2013-11-15T10:30:00	
134.922	134.949	134.877	134.898	134.896	134.922	134.848	134.873	73.68	
2013-11-15T10:00:00	134.823	134.939	134.820	134.922	134.795	134.913	134.793	134.896	
85.41	2013-11-15T09:30:00	134.747	134.865	134.692	134.823	134.721	134.837	134.662	
134.795	68.06	2013-11-15T09:00:00	134.772	134.800	134.701	134.747	134.741	134.772	
134.670	134.721	57.80	2013-11-15T08:30:00	134.726	134.829	134.708	134.772	134.699	
134.803	134.681	134.741	60.00	2013-11-15T08:00:00	134.700	134.731	134.642	134.726	
134.665	134.704	134.612	134.699	56.35	2013-11-15T07:30:00	134.677	134.745	134.640	
134.700	134.641	134.704	134.604	134.665	60.00	2013-11-15T07:00:00	134.641	134.696	
134.602	134.677	134.586	134.656	134.561	134.641	18.88	2013-11-15T06:30:00	134.624	
134.647	134.588	134.641	134.593	134.620	134.548	134.586	-18.78	2013-11-15T06:00:00	
134.604	134.633	134.577	134.624	134.580	134.599	134.546	134.593	4.09	
2013-11-15T05:30:00	134.626	134.654	134.560	134.604	134.599	134.625	134.534	134.580	
-8.96	2013-11-15T05:00:00	134.626	134.714	134.620	134.626	134.595	134.688	134.592	
134.599	31.44	2013-11-15T04:30:00	134.642	134.711	134.611	134.626	134.612	134.688	
134.580	134.595	13.32	2013-11-15T04:00:00	134.614	134.655	134.541	134.642	134.588	
134.628	134.515	134.612	28.43	2013-11-15T03:30:00	134.566	134.620	134.516	134.614	
134.536	134.592	134.487	134.588	9.64	2013-11-15T03:00:00	134.623	134.682	134.518	
134.566	134.594	134.658	134.487	134.536	21.90	2013-11-15T02:30:00	134.656	134.696	
134.608	134.623	134.629	134.675	134.581	134.594	45.23	2013-11-15T02:00:00	134.609	
134.679	134.542	134.656	134.582	134.655	134.517	134.629	61.12	2013-11-15T01:30:00	
134.633	134.709	134.593	134.609	134.605	134.680	134.567	134.582	37.27	
2013-11-15T01:00:00	134.508	134.700	134.486	134.633	134.477	134.675	134.456	134.605	
42.72	2013-11-15T00:30:00	134.565	134.640	134.442	134.508	134.536	134.611	134.419	
134.477	38.38	2013-11-15T00:00:00	134.498	134.659	134.401	134.565	134.473	134.637	
134.372	134.536	26.30	2013-11-14T23:30:00	134.567	134.563	134.468	134.498	134.537	
134.537	134.440	134.473	31.99	2013-11-14T23:00:00	134.428	134.601	134.420	134.567	
134.402	134.573	134.393	134.537	30.68	2013-11-14T22:30:00	134.396	134.461	134.312	
134.428	134.295	134.432	134.226	134.402	0.00	2013-11-14T22:00:00	134.200	134.404	
134.189	134.396	134.170	134.327	134.160	134.295	-15.84	2013-11-14T21:30:00	134.308	
134.307	134.197	134.200	134.279	134.278	134.168	134.170	-25.39	2013-11-14T21:00:00	
134.287	134.353	134.233	134.308	134.259	134.327	134.205	134.279	7.96	
2013-11-14T20:30:00	134.214	134.347	134.183	134.287	134.188	134.320	134.156	134.259	
7.73	2013-11-14T20:00:00	134.345	134.347	134.160	134.214	134.319	134.322	134.134	
134.188	5.01	2013-11-14T19:30:00	134.214	134.378	134.116	134.345	134.187	134.350	
134.090	134.319	20.12	2013-11-14T19:00:00	134.294	134.374	134.210	134.214	134.260	
134.342	134.180	134.187	-2.98	2013-11-14T18:30:00	134.428	134.626	134.282	134.294	
134.402	134.609	134.252	134.260	4.33	2013-11-14T18:00:00	134.454	134.471	134.352	
134.428	134.426	134.445	134.325	134.402	47.29	2013-11-14T17:30:00	134.395	134.511	
134.382	134.454	134.364	134.486	134.352	134.426	56.76	2013-11-14T17:00:00	134.241	
134.438	134.238	134.395	134.215	134.413	134.210	134.364	43.58	2013-11-14T16:30:00	
134.225	134.253	134.155	134.241	134.197	134.228	134.126	134.215	-9.62	
2013-11-14T16:00:00	134.176	134.263	134.170	134.225	134.149	134.235	134.144	134.197	
-6.94	2013-11-14T15:30:00	134.207	134.252	134.120	134.176	134.182	134.227	134.091	
134.149	47.81	2013-11-14T15:00:00	134.234	134.250	134.170	134.207	134.204	134.223	
134.143	134.182	60.00	2013-11-14T14:30:00	134.266	134.275	134.143	134.234	134.237	
134.247	134.114	134.204	40.00	2013-11-14T14:00:00	134.230	134.298	134.225	134.266	
134.201	134.271	134.198	134.237	56.87	2013-11-14T13:30:00	134.221	134.292	134.201	
134.230	134.195	134.270	134.170	134.201	62.29	2013-11-14T13:00:00	134.237	134.338	
134.155	134.221	134.208	134.308	134.131	134.195	51.72	2013-11-14T12:30:00	134.263	
134.312	134.179	134.237	134.238	134.284	134.151	134.208	47.63	2013-11-14T12:00:00	
134.240	134.328	134.185	134.263	134.214	134.300	134.158	134.238	51.72	
2013-11-14T11:30:00	133.937	134.244	133.915	134.240	133.909	134.217	133.889	134.214	
54.31	2013-11-14T11:00:00	133.910	134.059	133.904	133.937	133.888	134.031	133.876	
133.909	17.67	2013-11-14T10:30:00	134.007	134.035	133.910	133.910	133.980	134.015	
133.884	133.888	14.79	2013-11-14T10:00:00	133.910	134.090	133.908	134.007	133.881	
134.063	133.878	133.980	42.01	2013-11-14T09:30:00	133.785	133.929	133.757	133.910	
133.755	133.901	133.727	133.881	32.09	2013-11-14T09:00:00	133.834	133.868	133.770	
133.785	133.803	133.844	133.743	133.755	-2.42	2013-11-14T08:30:00	133.864	133.898	
133.782	133.834	133.837	133.888	133.758	133.803	29.46	2013-11-14T08:00:00	133.873	
133.898	133.758	133.864	133.846	133.866	133.726	133.837	18.85	2013-11-14T07:30:00	
133.826	133.905	133.804	133.873	133.779	133.864	133.766	133.846	50.41	
2013-11-14T07:00:00	133.888	133.975	133.727	133.826	133.815	133.918	133.651	133.779	
35.08	2013-11-14T06:30:00	133.838	133.935	133.636	133.888	133.812	133.904	133.592	
133.815	44.56	2013-11-14T06:00:00	133.800	133.882	133.800	133.838	133.796	133.853	
133.775	133.812	55.11	2013-11-14T05:30:00	133.792	133.822	133.747	133.800	133.761	
133.801	133.718	133.796	69.08	2013-11-14T05:00:00	133.789	133.812	133.712	133.792	
133.761	133.790	133.685	133.761	77.07	2013-11-14T04:30:00	133.765	133.826	133.751	
133.789	133.737	133.797	133.722	133.761	50.99	2013-11-14T04:00:00	133.821	133.821	
133.725	133.765	133.791	133.792	133.699	133.737	40.87	2013-11-14T03:30:00	133.692	
133.852	133.669	133.821	133.663	133.824	133.638	133.791	14.57	2013-11-14T03:00:00	
133.699	133.704	133.602	133.692	133.672	133.675	133.574	133.663	5.10	
2013-11-14T02:30:00	133.717	133.729	133.645	133.699	133.688	133.702	133.615	133.672	
33.02	2013-11-14T02:00:00	133.645	133.722	133.592	133.717	133.618	133.693	133.564	
133.688	19.38	2013-11-14T01:30:00	133.472	133.693	133.429	133.645	133.443	133.675	
133.402	133.618	8.41	2013-11-14T01:00:00	133.257	133.521	133.245	133.472	133.230	
133.495	133.218	133.443	-3.13	2013-11-14T00:30:00	133.376	133.435	133.242	133.257	
133.349	133.407	133.217	133.230	-27.11	2013-11-14T00:00:00	133.426	133.502	133.304	
133.376	133.397	133.476	133.275	133.349	-23.68	2013-11-13T23:30:00	133.665	133.671	
133.260	133.426	133.642	133.646	133.232	133.397	-10.61	2013-11-13T23:00:00	133.641	
133.780	133.578	133.665	133.616	133.753	133.550	133.642	22.17	2013-11-13T22:30:00	
133.277	133.697	133.264	133.641	133.250	133.669	133.236	133.616	2.82	
2013-11-13T22:00:00	133.437	133.444	133.246	133.277	133.412	133.417	133.221	133.250	
-53.83	2013-11-13T21:30:00	133.525	133.526	133.350	133.437	133.497	133.496	133.320	
133.412	-40.00	2013-11-13T21:00:00	133.506	133.574	133.487	133.525	133.483	133.548	
133.458	133.497	-36.89	2013-11-13T20:30:00	133.561	133.590	133.496	133.506	133.532	
133.565	133.468	133.483	-47.13	2013-11-13T20:00:00	133.630	133.661	133.522	133.561	
133.601	133.634	133.492	133.532	-42.44	2013-11-13T19:30:00	133.542	133.645	133.416	
133.630	133.514	133.615	133.390	133.601	-29.25	2013-11-13T19:00:00	133.464	133.562	
133.446	133.542	133.434	133.535	133.417	133.514	-38.98	2013-11-13T18:30:00	133.613	
133.616	133.451	133.464	133.586	133.592	133.421	133.434	-65.11	2013-11-13T18:00:00	
133.698	133.708	133.567	133.613	133.672	133.679	133.538	133.586	-56.61	
2013-11-13T17:30:00	133.695	133.725	133.636	133.698	133.664	133.698	133.611	133.672	
-14.44	2013-11-13T17:00:00	133.748	133.759	133.624	133.695	133.718	133.730	133.599	
133.664	-27.49	2013-11-13T16:30:00	133.823	133.839	133.738	133.748	133.795	133.810	
133.708	133.718	2.12	2013-11-13T16:00:00	133.815	133.861	133.770	133.823	133.793	
133.834	133.741	133.795	5.34	2013-11-13T15:30:00	133.795	133.841	133.760	133.815	
133.768	133.815	133.735	133.793	-6.72	2013-11-13T15:00:00	133.749	133.854	133.737	
