日時	
EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	OBV	
133.507	133.519	368328	2013-10-15T09:00:00	133.726	133.744	133.628	133.655	133.696	
133.718	133.600	133.630	369941	2013-10-15T08:30:00	133.748	133.798	133.726	133.726	
133.720	133.769	133.696	133.696	371113	2013-10-15T08:00:00	133.742	133.793	133.735	
133.748	133.713	133.765	133.708	133.720	371780	2013-10-15T07:30:00	133.742	133.763	
133.713	133.742	133.710	133.728	133.681	133.713	371183	2013-10-15T07:00:00	133.792	
133.816	133.710	133.742	133.746	133.784	133.673	133.710	370671	2013-10-15T06:30:00	
133.806	133.811	133.757	133.792	133.739	133.761	133.700	133.746	372184	
2013-10-15T06:00:00	133.717	133.865	133.705	133.806	133.651	133.793	133.646	133.739	
371494	2013-10-15T05:30:00	133.661	133.717	133.642	133.717	133.632	133.680	133.606	
133.651	370893	2013-10-15T05:00:00	133.722	133.732	133.641	133.661	133.693	133.704	
133.609	133.632	369848	2013-10-15T04:30:00	133.699	133.742	133.654	133.722	133.670	
133.712	133.622	133.693	370317	2013-10-15T04:00:00	133.642	133.721	133.560	133.699	
133.612	133.700	133.528	133.670	369526	2013-10-15T03:30:00	133.650	133.675	133.572	
133.642	133.618	133.645	133.540	133.612	368487	2013-10-15T03:00:00	133.524	133.705	
133.506	133.650	133.497	133.676	133.474	133.618	369845	2013-10-15T02:30:00	133.538	
133.599	133.481	133.524	133.512	133.570	133.453	133.497	368133	2013-10-15T02:00:00	
133.477	133.570	133.456	133.538	133.448	133.544	133.426	133.512	369250	
2013-10-15T01:30:00	133.492	133.540	133.462	133.477	133.465	133.513	133.432	133.448	
367409	2013-10-15T01:00:00	133.439	133.494	133.404	133.492	133.410	133.467	133.374	
133.465	368780	2013-10-15T00:30:00	133.386	133.457	133.357	133.439	133.358	133.430	
133.329	133.410	367916	2013-10-15T00:00:00	133.315	133.392	133.296	133.386	133.288	
133.366	133.269	133.358	366480	2013-10-14T23:30:00	133.437	133.442	133.298	133.315	
133.410	133.417	133.270	133.288	364830	2013-10-14T23:00:00	133.394	133.449	133.344	
133.437	133.365	133.421	133.314	133.410	366603	2013-10-14T22:30:00	133.356	133.422	
133.339	133.394	133.332	133.395	133.311	133.365	364911	2013-10-14T22:00:00	133.365	
133.411	133.349	133.356	133.336	133.384	133.320	133.332	363330	2013-10-14T21:30:00	
133.226	133.424	133.228	133.365	133.200	133.397	133.202	133.336	364635	
2013-10-14T21:00:00	133.225	133.277	133.185	133.226	133.197	133.252	133.157	133.200	
362023	2013-10-14T20:30:00	133.266	133.281	133.217	133.225	133.235	133.253	133.188	
133.197	360736	2013-10-14T20:00:00	133.234	133.306	133.216	133.266	133.206	133.278	
133.196	133.235	361498	2013-10-14T19:30:00	133.245	133.275	133.207	133.234	133.216	
133.246	133.179	133.206	360576	2013-10-14T19:00:00	133.278	133.344	133.239	133.245	
133.246	133.318	133.211	133.216	361478	2013-10-14T18:30:00	133.240	133.311	133.227	
133.278	133.215	133.282	133.197	133.246	362354	2013-10-14T18:00:00	133.247	133.290	
133.230	133.240	133.215	133.263	133.201	133.215	361440	2013-10-14T17:30:00	133.238	
133.253	133.162	133.247	133.207	133.224	133.133	133.215	361440	2013-10-14T17:00:00	
133.309	133.332	133.184	133.238	133.278	133.302	133.156	133.207	360073	
2013-10-14T16:30:00	133.289	133.359	133.285	133.309	133.261	133.335	133.257	133.278	
361427	2013-10-14T16:00:00	133.281	133.329	133.242	133.289	133.254	133.301	133.212	
133.261	360372	2013-10-14T15:30:00	133.259	133.303	133.249	133.281	133.231	133.274	
133.221	133.254	359371	2013-10-14T15:00:00	133.314	133.332	133.246	133.259	133.283	
133.307	133.216	133.231	358857	2013-10-14T14:30:00	133.293	133.337	133.281	133.314	
133.273	133.307	133.251	133.283	359526	2013-10-14T14:00:00	133.314	133.329	133.293	
133.293	133.287	133.304	133.270	133.273	359197	2013-10-14T13:30:00	133.304	133.337	
133.287	133.314	133.273	133.311	133.258	133.287	359437	2013-10-14T13:00:00	133.347	
133.349	133.278	133.304	133.318	133.319	133.246	133.273	359113	2013-10-14T12:30:00	
133.336	133.347	133.314	133.347	133.305	133.320	133.282	133.318	359427	
2013-10-14T12:00:00	133.328	133.352	133.315	133.336	133.298	133.323	133.285	133.305	
359176	2013-10-14T11:30:00	133.308	133.329	133.293	133.328	133.280	133.302	133.265	
133.298	358954	2013-10-14T11:00:00	133.312	133.323	133.294	133.308	133.282	133.299	
133.265	133.280	358684	2013-10-14T10:30:00	133.238	133.329	133.219	133.312	133.214	
133.300	133.194	133.282	358956	2013-10-14T10:00:00	133.261	133.274	133.192	133.238	
133.231	133.245	133.164	133.214	358337	2013-10-14T09:30:00	133.252	133.276	133.221	
133.261	133.224	133.251	133.192	133.231	358973	2013-10-14T09:00:00	133.297	133.332	
133.239	133.252	133.267	133.306	133.207	133.224	358490	2013-10-14T08:30:00	133.285	
133.318	133.223	133.297	133.254	133.290	133.196	133.267	359146	2013-10-14T08:00:00	
133.239	133.294	133.177	133.285	133.206	133.265	133.148	133.254	358678	
2013-10-14T07:30:00	133.291	133.318	133.213	133.239	133.260	133.286	133.181	133.206	
357721	2013-10-14T07:00:00	133.165	133.354	133.123	133.291	133.104	133.287	133.067	
133.260	358637	2013-10-14T06:30:00	133.355	133.366	133.121	133.165	133.307	133.318	
133.039	133.104	356364	2013-10-14T06:00:00	133.298	133.439	133.298	133.355	133.236	
133.327	133.232	133.307	356919	2013-10-14T05:30:00	133.128	133.354	133.118	133.298	
133.066	133.287	133.042	133.236	356262	2013-10-14T05:00:00	133.159	133.207	133.077	
133.128	133.097	133.107	133.015	133.066	356109	2013-10-14T04:30:00	133.270	133.270	
133.125	133.159	133.079	133.147	133.063	133.097	356228	2013-10-14T04:00:00	133.493	
133.277	133.270	133.270	133.443	133.090	133.079	133.079	356096	2013-10-12T05:30:00	
133.477	133.538	133.433	133.481	133.438	133.497	133.371	133.429	356098	
2013-10-12T05:00:00	133.554	133.565	133.416	133.477	133.530	133.533	133.376	133.438	
362915	2013-10-12T04:30:00	133.473	133.554	133.468	133.554	133.443	133.530	133.438	
133.530	366603	2013-10-12T04:00:00	133.496	133.503	133.464	133.473	133.467	133.476	
133.434	133.443	365171	2013-10-12T03:30:00	133.483	133.512	133.429	133.496	133.456	
133.483	133.399	133.467	365909	2013-10-12T03:00:00	133.396	133.483	133.384	133.483	
133.371	133.456	133.357	133.456	364528	2013-10-12T02:30:00	133.347	133.404	133.290	
133.396	133.316	133.375	133.261	133.371	363391	2013-10-12T02:00:00	133.364	133.393	
133.310	133.347	133.336	133.366	133.280	133.316	362045	2013-10-12T01:30:00	133.314	
133.423	133.266	133.364	133.283	133.398	133.236	133.336	364259	2013-10-12T01:00:00	
133.465	133.492	133.293	133.314	133.436	133.469	133.266	133.283	361199	
2013-10-12T00:30:00	133.320	133.482	133.320	133.465	133.291	133.457	133.292	133.436	
364473	2013-10-12T00:00:00	133.333	133.423	133.251	133.320	133.308	133.398	133.223	
133.291	361274	2013-10-11T23:30:00	133.331	133.379	133.242	133.333	133.302	133.353	
133.212	133.308	365185	2013-10-11T23:00:00	133.359	133.432	133.278	133.331	133.331	
133.404	133.249	133.302	362484	2013-10-11T22:30:00	133.318	133.366	133.219	133.359	
133.291	133.340	133.174	133.331	365525	2013-10-11T22:00:00	133.313	133.393	133.230	
133.318	133.285	133.366	133.201	133.291	361803	2013-10-11T21:30:00	133.299	133.377	
133.262	133.313	133.268	133.348	133.233	133.285	359530	2013-10-11T21:00:00	133.446	
133.472	133.267	133.299	133.419	133.447	133.239	133.268	357148	2013-10-11T20:30:00	
133.425	133.494	133.398	133.446	133.399	133.471	133.372	133.419	358850	
2013-10-11T20:00:00	133.335	133.432	133.327	133.425	133.305	133.405	133.299	133.399	
357269	2013-10-11T19:30:00	133.456	133.472	133.258	133.335	133.427	133.447	133.231	
133.305	355539	2013-10-11T19:00:00	133.563	133.617	133.431	133.456	133.538	133.595	
133.407	133.427	357581	2013-10-11T18:30:00	133.557	133.586	133.483	133.563	133.532	
133.560	133.459	133.538	359319	2013-10-11T18:00:00	133.396	133.615	133.393	133.557	
133.372	133.601	133.367	133.532	357253	2013-10-11T17:30:00	133.304	133.408	133.283	
133.396	133.278	133.384	133.256	133.372	354269	2013-10-11T17:00:00	133.297	133.377	
133.254	133.304	133.268	133.349	133.225	133.278	351966	2013-10-11T16:30:00	133.190	
133.368	133.140	133.297	133.163	133.339	133.111	133.268	349207	2013-10-11T16:00:00	
133.238	133.243	133.053	133.190	133.209	133.213	133.025	133.163	346382	
2013-10-11T15:30:00	133.249	133.325	133.229	133.238	133.220	133.297	133.200	133.209	
348590	2013-10-11T15:00:00	133.237	133.267	133.139	133.249	133.210	133.238	133.113	
133.220	349793	2013-10-11T14:30:00	133.196	133.282	133.134	133.237	133.169	133.255	
133.108	133.210	348640	2013-10-11T14:00:00	133.199	133.247	133.172	133.196	133.171	
133.219	133.142	133.169	347763	2013-10-11T13:30:00	133.249	133.337	133.190	133.199	
133.219	133.309	133.161	133.171	348509	2013-10-11T13:00:00	133.324	133.347	133.236	
133.249	133.296	133.319	133.206	133.219	349437	2013-10-11T12:30:00	133.376	133.464	
133.324	133.324	133.347	133.436	133.293	133.296	350239	2013-10-11T12:00:00	133.347	
133.454	133.348	133.376	133.319	133.433	133.320	133.347	351201	2013-10-11T11:30:00	
133.347	133.367	133.307	133.347	133.319	133.339	133.278	133.319	350004	
2013-10-11T11:00:00	133.241	133.381	133.139	133.347	133.213	133.352	133.110	133.319	
350004	2013-10-11T10:30:00	133.072	133.244	133.059	133.241	133.043	133.216	133.030	
133.213	348321	2013-10-11T10:00:00	132.988	133.102	132.917	133.072	132.957	133.078	
132.890	133.043	346526	2013-10-11T09:30:00	132.992	133.040	132.908	132.988	132.962	
133.014	132.878	132.957	344806	2013-10-11T09:00:00	132.894	133.007	132.892	132.992	
132.866	132.978	132.865	132.962	346447	2013-10-11T08:30:00	132.793	132.902	132.784	
132.894	132.763	132.874	132.754	132.866	344650	2013-10-11T08:00:00	132.691	132.808	
132.691	132.793	132.659	132.782	132.659	132.763	343760	2013-10-11T07:30:00	132.595	
132.788	132.594	132.691	132.565	132.754	132.562	132.659	342790	2013-10-11T07:00:00	
132.970	132.974	132.469	132.595	132.922	132.940	132.426	132.565	341208	
2013-10-11T06:30:00	132.783	132.984	132.783	132.970	132.740	132.942	132.740	132.922	
346083	2013-10-11T06:00:00	132.739	132.824	132.725	132.783	132.690	132.778	132.644	
132.740	345193	2013-10-11T05:30:00	132.847	132.850	132.718	132.739	132.818	132.818	
132.679	132.690	344649	2013-10-11T05:00:00	132.856	132.893	132.828	132.847	132.828	
132.863	132.796	132.818	346988	2013-10-11T04:30:00	132.949	132.955	132.811	132.856	
132.920	132.927	132.781	132.828	347609	2013-10-11T04:00:00	132.844	132.983	132.828	
132.949	132.816	132.954	132.799	132.920	348863	2013-10-11T03:30:00	132.857	132.911	
132.800	132.844	132.827	132.882	132.772	132.816	346823	2013-10-11T03:00:00	132.771	
132.907	132.745	132.857	132.745	132.879	132.716	132.827	348409	2013-10-11T02:30:00	
132.780	132.790	132.718	132.771	132.748	132.764	132.690	132.745	346947	
2013-10-11T02:00:00	132.678	132.781	132.637	132.780	132.649	132.755	132.608	132.748	
347960	2013-10-11T01:30:00	132.771	132.794	132.653	132.678	132.739	132.767	132.624	
132.649	345978	2013-10-11T01:00:00	132.783	132.803	132.724	132.771	132.756	132.776	
132.695	132.739	347646	2013-10-11T00:30:00	132.751	132.825	132.681	132.783	132.726	
132.799	132.652	132.756	350122	2013-10-11T00:00:00	132.649	132.800	132.547	132.751	
132.622	132.773	132.518	132.726	346768	2013-10-10T23:30:00	132.664	132.735	132.581	
132.649	132.638	132.708	132.554	132.622	341711	2013-10-10T23:00:00	132.658	132.743	
132.549	132.664	132.630	132.714	132.522	132.638	345190	2013-10-10T22:30:00	132.471	
132.742	132.456	132.658	132.442	132.717	132.430	132.630	342376	2013-10-10T22:00:00	
132.579	132.613	132.470	132.471	132.549	132.589	132.441	132.442	337204	
2013-10-10T21:30:00	132.391	132.610	132.241	132.579	132.256	132.583	132.184	132.549	
340944	2013-10-10T21:00:00	132.348	132.437	132.305	132.391	132.321	132.411	132.256	
132.256	334424	2013-10-10T20:30:00	132.368	132.430	132.329	132.348	132.338	132.402	
132.300	132.321	336499	2013-10-10T20:00:00	132.377	132.387	132.329	132.368	132.350	
132.360	132.302	132.338	338021	2013-10-10T19:30:00	132.299	132.446	132.296	132.377	
132.272	132.421	132.269	132.350	340093	2013-10-10T19:00:00	132.301	132.358	132.283	
132.299	132.273	132.334	132.257	132.272	337986	2013-10-10T18:30:00	132.361	132.408	
132.288	132.301	132.336	132.386	132.261	132.273	339577	2013-10-10T18:00:00	132.341	
132.379	132.268	132.361	132.317	132.355	132.242	132.336	341528	2013-10-10T17:30:00	
132.120	132.353	132.112	132.341	132.094	132.329	132.085	132.317	338859	
2013-10-10T17:00:00	131.899	132.136	131.846	132.120	131.872	132.109	131.820	132.094	
336024	2013-10-10T16:30:00	131.889	131.954	131.833	131.899	131.863	131.927	131.805	
131.872	334166	2013-10-10T16:00:00	131.935	131.947	131.879	131.889	131.911	131.922	
131.853	131.863	332175	2013-10-10T15:30:00	131.941	131.999	131.896	131.935	131.916	
131.975	131.870	131.911	333914	2013-10-10T15:00:00	132.033	132.030	131.902	131.941	
132.001	132.002	131.878	131.916	335939	2013-10-10T14:30:00	131.954	132.036	131.935	
132.033	131.925	132.008	131.905	132.001	337411	2013-10-10T14:00:00	131.986	131.998	
131.933	131.954	131.956	131.970	131.904	131.925	335970	2013-10-10T13:30:00	131.909	
131.994	131.882	131.986	131.879	131.965	131.852	131.956	337439	2013-10-10T13:00:00	
131.916	131.962	131.902	131.909	131.884	131.939	131.872	131.879	336652	
2013-10-10T12:30:00	131.947	131.957	131.893	131.916	131.919	131.928	131.864	131.884	
337409	2013-10-10T12:00:00	131.881	131.972	131.864	131.947	131.850	131.944	131.836	
131.919	338268	2013-10-10T11:30:00	131.917	131.955	131.799	131.881	131.894	131.928	
131.772	131.850	336966	2013-10-10T11:00:00	131.873	131.983	131.838	131.917	131.842	
131.957	131.810	131.894	338646	2013-10-10T10:30:00	131.922	131.944	131.858	131.873	
131.893	131.918	131.828	131.842	337075	2013-10-10T10:00:00	131.841	131.945	131.766	
131.922	131.813	131.918	131.737	131.893	338461	2013-10-10T09:30:00	131.838	131.887	
131.759	131.841	131.809	131.859	131.728	131.813	336430	2013-10-10T09:00:00	131.828	
131.882	131.809	131.838	131.800	131.854	131.779	131.809	334595	2013-10-10T08:30:00	
131.870	131.880	131.785	131.828	131.841	131.854	131.755	131.800	333176	
2013-10-10T08:00:00	131.801	131.903	131.793	131.870	131.774	131.874	131.765	131.841	
334095	2013-10-10T07:30:00	131.708	131.815	131.691	131.801	131.678	131.788	131.659	
131.774	332952	2013-10-10T07:00:00	131.707	131.743	131.682	131.708	131.659	131.716	
131.652	131.678	332017	2013-10-10T06:30:00	131.703	131.734	131.682	131.707	131.659	
131.694	131.637	131.659	331428	2013-10-10T06:00:00	131.655	131.763	131.655	131.703	
131.615	131.723	131.596	131.659	331428	2013-10-10T05:30:00	131.567	131.660	131.550	
131.655	131.538	131.645	131.519	131.615	331036	2013-10-10T05:00:00	131.659	131.661	
131.541	131.567	131.627	131.633	131.511	131.538	328053	2013-10-10T04:30:00	131.642	
131.708	131.562	131.659	131.614	131.683	131.531	131.627	329961	2013-10-10T04:00:00	
131.655	131.702	131.628	131.642	131.626	131.671	131.597	131.614	327993	
2013-10-10T03:30:00	131.663	131.704	131.575	131.655	131.630	131.677	131.550	131.626	
329372	2013-10-10T03:00:00	131.595	131.765	131.487	131.663	131.535	131.736	131.462	
131.630	331475	2013-10-10T02:30:00	131.522	131.622	131.522	131.595	131.495	131.582	
131.495	131.535	324547	2013-10-10T02:00:00	131.429	131.539	131.426	131.522	131.402	
131.512	131.395	131.495	322716	2013-10-10T01:30:00	131.422	131.460	131.389	131.429	
131.399	131.434	131.361	131.402	320920	2013-10-10T01:00:00	131.398	131.433	131.362	
131.422	131.371	131.405	131.338	131.399	319264	2013-10-10T00:30:00	131.333	131.449	
131.317	131.398	131.306	131.422	131.290	131.371	317306	2013-10-10T00:00:00	131.380	
131.432	131.262	131.333	131.355	131.410	131.234	131.306	314795	2013-10-09T23:30:00	
131.497	131.546	131.326	131.380	131.467	131.519	131.296	131.355	318099	
2013-10-09T23:00:00	131.467	131.551	131.423	131.497	131.437	131.526	131.396	131.467	
321231	2013-10-09T22:30:00	131.419	131.501	131.369	131.467	131.390	131.474	131.341	
131.437	317234	2013-10-09T22:00:00	131.527	131.563	131.419	131.419	131.500	131.540	
131.390	131.390	313804	2013-10-09T21:30:00	131.552	131.608	131.502	131.527	131.525	
131.579	131.472	131.500	316284	2013-10-09T21:00:00	131.474	131.647	131.435	131.552	
131.445	131.622	131.409	131.525	318994	2013-10-09T20:30:00	131.509	131.510	131.405	
131.474	131.480	131.483	131.378	131.445	316587	2013-10-09T20:00:00	131.568	131.571	
131.453	131.509	131.540	131.546	131.424	131.480	318251	2013-10-09T19:30:00	131.659	
131.703	131.566	131.568	131.627	131.676	131.539	131.540	319948	2013-10-09T19:00:00	
131.713	131.788	131.649	131.659	131.683	131.760	131.619	131.627	321254	
2013-10-09T18:30:00	131.772	131.799	131.667	131.713	131.741	131.772	131.637	131.683	
322928	2013-10-09T18:00:00	131.673	131.786	131.672	131.772	131.641	131.758	131.642	
131.741	324699	2013-10-09T17:30:00	131.723	131.765	131.628	131.673	131.694	131.736	
131.601	131.641	322619	2013-10-09T17:00:00	131.674	131.736	131.613	131.723	131.645	
131.717	131.588	131.694	324777	2013-10-09T16:30:00	131.711	131.740	131.651	131.674	
131.682	131.713	131.625	131.645	323173	2013-10-09T16:00:00	131.955	131.956	131.642	
131.711	131.926	131.927	131.619	131.682	324998	2013-10-09T15:30:00	132.126	132.125	
131.905	131.955	132.099	132.097	131.881	131.926	328200	2013-10-09T15:00:00	132.078	
132.126	131.991	132.126	132.052	132.099	131.962	132.099	330347	2013-10-09T14:30:00	
132.140	132.187	132.074	132.078	132.112	132.157	132.049	132.052	328098	
2013-10-09T14:00:00	132.062	132.142	132.048	132.140	132.035	132.115	132.020	132.112	
329685	2013-10-09T13:30:00	132.072	132.115	132.023	132.062	132.043	132.088	131.998	
132.035	328586	2013-10-09T13:00:00	132.076	132.195	132.067	132.072	132.049	132.169	
132.038	132.043	329715	2013-10-09T12:30:00	132.030	132.130	132.018	132.076	131.999	
132.105	131.987	132.049	331111	2013-10-09T12:00:00	131.968	132.043	131.945	132.030	
131.944	132.014	131.915	131.999	329656	2013-10-09T11:30:00	131.988	132.011	131.946	
131.968	131.959	131.981	131.918	131.944	328778	2013-10-09T11:00:00	131.870	132.048	
131.872	131.988	131.840	132.019	131.842	131.959	329828	2013-10-09T10:30:00	131.957	
131.964	131.805	131.870	131.928	131.938	131.774	131.840	327742	2013-10-09T10:00:00	
131.892	132.031	131.843	131.957	131.862	132.005	131.814	131.928	329178	
2013-10-09T09:30:00	131.993	132.019	131.865	131.892	131.964	131.992	131.838	131.862	
327505	2013-10-09T09:00:00	131.818	132.017	131.811	131.993	131.789	131.990	131.779	
131.964	329934	2013-10-09T08:30:00	131.786	131.834	131.719	131.818	131.756	131.806	
131.691	131.789	327892	2013-10-09T08:00:00	131.673	131.812	131.660	131.786	131.641	
131.782	131.629	131.756	326871	2013-10-09T07:30:00	131.631	131.699	131.599	131.673	
131.600	131.665	131.567	131.641	325746	2013-10-09T07:00:00	131.528	131.651	131.508	
131.631	131.486	131.620	131.480	131.600	324929	2013-10-09T06:30:00	131.501	131.535	
131.476	131.528	131.465	131.499	131.440	131.486	324162	2013-10-09T06:00:00	131.512	
131.564	131.457	131.501	131.461	131.470	131.415	131.465	323873	2013-10-09T05:30:00	
131.520	131.569	131.476	131.512	131.491	131.533	131.442	131.461	323541	
2013-10-09T05:00:00	131.538	131.570	131.471	131.520	131.513	131.542	131.443	131.491	
325737	2013-10-09T04:30:00	131.713	131.712	131.538	131.538	131.684	131.693	131.506	
131.513	327046	2013-10-09T04:00:00	131.565	131.722	131.554	131.713	131.536	131.695	
131.525	131.684	328552	2013-10-09T03:30:00	131.611	131.667	131.538	131.565	131.583	
131.639	131.508	131.536	327045	2013-10-09T03:00:00	131.547	131.629	131.508	131.611	
131.517	131.599	131.478	131.583	329030	2013-10-09T02:30:00	131.628	131.636	131.531	
131.547	131.596	131.610	131.502	131.517	327317	2013-10-09T02:00:00	131.592	131.649	
131.521	131.628	131.561	131.621	131.496	131.596	328688	2013-10-09T01:30:00	131.585	
131.623	131.489	131.592	131.555	131.594	131.461	131.561	327232	2013-10-09T01:00:00	
131.673	131.680	131.551	131.585	131.642	131.657	131.520	131.555	325275	
2013-10-09T00:30:00	131.768	131.776	131.606	131.673	131.738	131.745	131.581	131.642	
327469	2013-10-09T00:00:00	131.837	131.867	131.714	131.768	131.810	131.838	131.687	
131.738	330447	2013-10-08T23:30:00	131.959	132.004	131.824	131.837	131.931	131.977	
131.795	131.810	333241	2013-10-08T23:00:00	131.956	132.031	131.903	131.959	131.931	
132.005	131.877	131.931	336649	2013-10-08T22:30:00	131.976	132.053	131.881	131.956	
131.950	132.026	131.859	131.931	336649	2013-10-08T22:00:00	132.022	132.037	131.899	
131.976	131.999	132.009	131.872	131.950	341170	2013-10-08T21:30:00	131.951	132.028	
131.947	132.022	131.922	131.999	131.918	131.999	343091	2013-10-08T21:00:00	131.828	
132.046	131.827	131.951	131.801	132.018	131.798	131.922	340860	2013-10-08T20:30:00	
131.835	131.842	131.734	131.828	131.805	131.836	131.705	131.801	338181	
2013-10-08T20:00:00	131.785	131.857	131.753	131.835	131.759	131.833	131.728	131.805	
339878	2013-10-08T19:30:00	131.684	131.835	131.657	131.785	131.655	131.807	131.633	
131.759	338448	2013-10-08T19:00:00	131.805	131.804	131.674	131.684	131.778	131.776	
131.645	131.655	336794	2013-10-08T18:30:00	131.752	131.837	131.693	131.805	131.723	
131.811	131.665	131.778	338756	2013-10-08T18:00:00	131.697	131.760	131.589	131.752	
131.671	131.733	131.564	131.723	336441	2013-10-08T17:30:00	131.759	131.788	131.643	
131.697	131.730	131.760	131.616	131.671	334401	2013-10-08T17:00:00	131.783	131.825	
131.710	131.759	131.755	131.799	131.682	131.730	336098	2013-10-08T16:30:00	131.818	
131.851	131.726	131.783	131.790	131.825	131.697	131.755	337821	2013-10-08T16:00:00	
131.815	131.849	131.709	131.818	131.787	131.823	131.682	131.790	339564	
2013-10-08T15:30:00	131.828	131.846	131.723	131.815	131.798	131.817	131.696	131.787	
337634	2013-10-08T15:00:00	131.734	131.872	131.728	131.828	131.710	131.847	131.701	
131.798	339356	2013-10-08T14:30:00	131.754	131.868	131.688	131.734	131.727	131.842	
131.660	131.710	337088	2013-10-08T14:00:00	131.652	131.790	131.576	131.754	131.626	
131.762	131.551	131.727	338780	2013-10-08T13:30:00	131.452	131.719	131.441	131.652	
131.424	131.692	131.416	131.626	336884	2013-10-08T13:00:00	131.477	131.515	131.440	
131.452	131.450	131.488	131.415	131.424	334621	2013-10-08T12:30:00	131.451	131.564	
131.405	131.477	131.422	131.536	131.379	131.450	335663	2013-10-08T12:00:00	131.367	
131.486	131.337	131.451	131.338	131.461	131.309	131.422	333711	2013-10-08T11:30:00	
131.359	131.418	131.331	131.367	131.329	131.389	131.307	131.338	332446	
2013-10-08T11:00:00	131.316	131.400	131.300	131.359	131.288	131.377	131.272	131.329	
331638	2013-10-08T10:30:00	131.301	131.467	131.293	131.316	131.271	131.441	131.265	
131.288	330570	2013-10-08T10:00:00	131.332	131.340	131.247	131.301	131.304	131.313	
131.219	131.271	329065	2013-10-08T09:30:00	131.419	131.425	131.322	131.332	131.389	
131.399	131.295	131.304	330462	2013-10-08T09:00:00	131.338	131.442	131.320	131.419	
131.307	131.419	131.293	131.389	331867	2013-10-08T08:30:00	131.290	131.338	131.221	
131.338	131.259	131.307	131.195	131.307	330406	2013-10-08T08:00:00	131.334	131.374	
131.253	131.290	131.309	131.346	131.225	131.259	329552	2013-10-08T07:30:00	131.288	
131.344	131.263	131.334	131.254	131.314	131.233	131.309	330339	2013-10-08T07:00:00	
131.312	131.339	131.193	131.288	131.256	131.304	131.160	131.254	329543	
2013-10-08T06:30:00	131.336	131.340	131.171	131.312	131.275	131.293	131.125	131.256	
331391	2013-10-08T06:00:00	131.332	131.443	131.291	131.336	131.310	131.368	131.256	
131.275	332583	2013-10-08T05:30:00	131.381	131.422	131.297	131.332	131.353	131.393	
131.257	131.310	333084	2013-10-08T05:00:00	131.530	131.532	131.350	131.381	131.503	
131.506	131.326	131.353	334860	2013-10-08T04:30:00	131.596	131.603	131.495	131.530	
131.563	131.577	131.466	131.503	336326	2013-10-08T04:00:00	131.574	131.634	131.569	
131.596	131.547	131.605	131.542	131.563	337215	2013-10-08T03:30:00	131.623	131.662	
131.568	131.574	131.595	131.632	131.534	131.547	336677	2013-10-08T03:00:00	131.661	
131.692	131.576	131.623	131.629	131.667	131.548	131.595	337617	2013-10-08T02:30:00	
131.626	131.670	131.565	131.661	131.595	131.638	131.535	131.629	338849	
2013-10-08T02:00:00	131.550	131.648	131.514	131.626	131.522	131.620	131.483	131.595	
337463	2013-10-08T01:30:00	131.630	131.638	131.544	131.550	131.601	131.608	131.518	
131.522	336022	2013-10-08T01:00:00	131.671	131.706	131.610	131.630	131.645	131.677	
131.581	131.601	337300	2013-10-08T00:30:00	131.737	131.803	131.669	131.671	131.711	
131.777	131.644	131.645	338785	2013-10-08T00:00:00	131.692	131.771	131.613	131.737	
131.667	131.743	131.585	131.711	340612	2013-10-07T23:30:00	131.630	131.712	131.548	
131.692	131.603	131.684	131.520	131.667	337468	2013-10-07T23:00:00	131.434	131.711	
131.429	131.630	131.407	131.682	131.402	131.603	334352	2013-10-07T22:30:00	131.440	
131.481	131.399	131.434	131.412	131.456	131.373	131.407	328990	2013-10-07T22:00:00	
131.472	131.546	131.399	131.440	131.446	131.521	131.375	131.412	332101	
2013-10-07T21:30:00	131.434	131.501	131.387	131.472	131.408	131.475	131.361	131.446	
334360	2013-10-07T21:00:00	131.457	131.488	131.416	131.434	131.433	131.464	131.393	
131.408	332607	2013-10-07T20:30:00	131.570	131.642	131.385	131.457	131.548	131.615	
131.359	131.433	334335	2013-10-07T20:00:00	131.602	131.648	131.544	131.570	131.575	
131.622	131.515	131.548	336467	2013-10-07T19:30:00	131.561	131.602	131.560	131.602	
131.535	131.575	131.531	131.575	337650	2013-10-07T19:00:00	131.667	131.687	131.554	
131.561	131.640	131.662	131.528	131.535	336660	2013-10-07T18:30:00	131.763	131.788	
131.665	131.667	131.734	131.762	131.638	131.640	338216	2013-10-07T18:00:00	131.718	
131.784	131.669	131.763	131.688	131.755	131.640	131.734	339884	2013-10-07T17:30:00	
131.737	131.751	131.630	131.718	131.708	131.722	131.600	131.688	337941	
2013-10-07T17:00:00	131.628	131.772	131.616	131.737	131.602	131.745	131.590	131.708	
340541	2013-10-07T16:30:00	131.559	131.652	131.544	131.628	131.532	131.627	131.516	
131.602	337895	2013-10-07T16:00:00	131.863	131.863	131.531	131.559	131.837	131.836	
131.505	131.532	335975	2013-10-07T15:30:00	131.798	131.864	131.728	131.863	131.767	
131.838	131.698	131.837	339394	2013-10-07T15:00:00	131.758	131.836	131.750	131.798	
131.731	131.811	131.723	131.767	337964	2013-10-07T14:30:00	131.826	131.845	131.751	
